"Distance" "MP" "Class"
"297" 468 2.7 "Mammalia"
"298" 466 2.5 "Mammalia"
"299" 462 3.9 "Mammalia"
"300" 453 3.7 "Mammalia"
"301" 438 3.5 "Mammalia"
"302" 436 4.4 "Mammalia"
"303" 432 3.7 "Mammalia"
"304" 430 4.3 "Mammalia"
"305" 422 4.7 "Mammalia"
"306" 407 4.4 "Mammalia"
"307" 398 4.3 "Mammalia"
"308" 389 5.2 "Mammalia"
"309" 386 5 "Mammalia"
"310" 384 6.5 "Mammalia"
"311" 373 6.3 "Mammalia"
"312" 352 4.3 "Mammalia"
"313" 334 3.5 "Mammalia"
"314" 331 4 "Mammalia"
"315" 321 3.8 "Mammalia"
"316" 316 3 "Mammalia"
"317" 310 4 "Mammalia"
"318" 301 3.1 "Mammalia"
"319" 296 3.6 "Mammalia"
"320" 294 3.6 "Mammalia"
"321" 287 3 "Mammalia"
"322" 283 3.3 "Mammalia"
"323" 281 3 "Mammalia"
"324" 275 3.8 "Mammalia"
"325" 273 4.1 "Mammalia"
"326" 267 3.4 "Mammalia"
"327" 259 3.1 "Mammalia"
"328" 239 3.4 "Mammalia"
"329" 218 3.4 "Mammalia"
"330" 216 3.4 "Mammalia"
"331" 207 3.5 "Mammalia"
"332" 204 3.8 "Mammalia"
"333" 199 3.4 "Mammalia"
"334" 183 2.7 "Mammalia"
"335" 176 3.6 "Mammalia"
"336" 171 3.2 "Mammalia"
"337" 162 3 "Mammalia"
"338" 159 3.8 "Mammalia"
"339" 149 3.4 "Mammalia"
"340" 145 3.3 "Mammalia"
"341" 136 3.6 "Mammalia"
"342" 134 3.2 "Mammalia"
"343" 130 4 "Mammalia"
"344" 124 3.4 "Mammalia"
"345" 120 3.2 "Mammalia"
"346" 115 2.8 "Mammalia"
"347" 108 3.1 "Mammalia"
"348" 99 3.4 "Mammalia"
"349" 95 3.8 "Mammalia"
"350" 87 4 "Mammalia"
"351" 74 3.3 "Mammalia"
"352" 71 3 "Mammalia"
"353" 61 3.4 "Mammalia"
"354" 57 3.4 "Mammalia"
"355" 54 3.6 "Mammalia"
"356" 49 3.7 "Mammalia"
"357" 40 3.2 "Mammalia"
"358" 26 3.5 "Mammalia"
"359" 24 3.2 "Mammalia"
"360" 19 3 "Mammalia"
"361" 15 3.3 "Mammalia"
"362" 13 3.3 "Mammalia"
"363" 7 3.8 "Mammalia"
"364" 4 3.4 "Mammalia"
"365" -5 3.3 "Mammalia"
"366" -7 3 "Mammalia"
"367" -10 4.4 "Mammalia"
"368" -12 4 "Mammalia"
"369" -15 3.4 "Mammalia"
"370" -32 3.9 "Mammalia"
"371" -35 3 "Mammalia"
"372" -38 4.2 "Mammalia"
"373" -40 3.6 "Mammalia"
"374" -44 4 "Mammalia"
"375" -48 4.5 "Mammalia"
"376" -69 4 "Mammalia"
"377" -74 4.4 "Mammalia"
"378" -77 4.3 "Mammalia"
"379" -81 4.6 "Mammalia"
"380" -94 4.7 "Mammalia"
"381" -96 4.2 "Mammalia"
"382" -99 4.3 "Mammalia"
"383" -110 3.7 "Mammalia"
"384" -116 3.7 "Mammalia"
"385" -119 3.5 "Mammalia"
"386" -161 3.5 "Mammalia"
"387" -177 3.5 "Mammalia"
"388" -183 2.9 "Mammalia"
"389" -217 3.4 "Mammalia"
"390" -224 3.4 "Mammalia"
"391" -243 3.5 "Mammalia"
"392" -256 3.4 "Mammalia"
"393" -258 4.5 "Mammalia"
"394" -260 4.4 "Mammalia"
"395" -263 3.1 "Mammalia"
"396" -272 2.8 "Mammalia"
"397" -274 2.6 "Mammalia"
"398" -281 4 "Mammalia"
"399" -295 4.1 "Mammalia"
"400" -300 4.5 "Mammalia"
"401" -306 4.5 "Mammalia"
"402" -326 4.7 "Mammalia"
"403" -335 4.5 "Mammalia"
"404" -342 4.8 "Mammalia"
"405" -358 4.5 "Mammalia"
"406" -360 3.9 "Mammalia"
"407" -398 4.4 "Mammalia"
"408" -427 4 "Mammalia"
"409" -453 3.6 "Mammalia"
"410" -513 3.5 "Mammalia"
"411" -656 3 "Mammalia"
"412" -671 3.2 "Mammalia"
"413" -708 3.2 "Mammalia"
"414" -731 3 "Mammalia"
"415" -759 3.3 "Mammalia"
"416" -841 3.1 "Mammalia"
"417" -866 3.2 "Mammalia"
"418" -890 3.3 "Mammalia"
"419" -895 3.4 "Mammalia"
"420" -934 2.9 "Mammalia"
"421" -938 3.2 "Mammalia"
"422" -956 3.4 "Mammalia"
"423" -997 3.7 "Mammalia"
"424" -1048 3 "Mammalia"
"425" -1053 3.6 "Mammalia"
"426" -1143 3.5 "Mammalia"
"427" -1158 3.7 "Mammalia"
"428" -1168 4.1 "Mammalia"
"429" -1210 3.8 "Mammalia"
"430" -1220 3.6 "Mammalia"
"431" -1242 3.4 "Mammalia"
"432" -1360 3.3 "Mammalia"
"433" -1375 3.7 "Mammalia"
"434" -1377 3.5 "Mammalia"
"435" -1404 3.5 "Mammalia"
"436" -1478 3.3 "Mammalia"
"437" -1634 2.8 "Mammalia"
"438" -1723 2.6 "Mammalia"
"439" -1753 2.9 "Mammalia"
"440" -1761 3.3 "Mammalia"
"441" -1768 3.3 "Mammalia"
"442" -1778 3.9 "Mammalia"
"443" -1785 4 "Mammalia"
"444" -1833 4.3 "Mammalia"
"445" -1840 4.6 "Mammalia"
"446" -1892 4.8 "Mammalia"
"447" -1930 4.9 "Mammalia"
"448" -2042 4.9 "Mammalia"
"449" -2047 4.7 "Mammalia"
"450" -2102 4.7 "Mammalia"
"451" -2170 4.4 "Mammalia"
"452" -2190 4 "Mammalia"
"453" -2259 2.8 "Mammalia"
"454" -2278 4.2 "Mammalia"
"455" -2321 4.2 "Mammalia"
"456" -2375 8.6 "Mammalia"
"457" -2427 4.4 "Mammalia"
"458" -2468 3.7 "Mammalia"
"459" -2473 3 "Mammalia"
"460" -2538 4.2 "Mammalia"
"461" -2557 3.4 "Mammalia"
"462" -2561 4.2 "Mammalia"
"463" -2570 4 "Mammalia"
"464" -2581 4.1 "Mammalia"
"465" -2702 4 "Mammalia"
"466" -2733 3.2 "Mammalia"
"467" -2774 3.7 "Mammalia"
"468" -2870 5.8 "Mammalia"
"469" -2892 38.1 "Mammalia"
"470" -2917 43.5 "Mammalia"
"471" -3021 46 "Mammalia"
"472" -3034 46.8 "Mammalia"
"473" -3086 53.3 "Mammalia"
"474" -3092 63.1 "Mammalia"
"475" -3184 72 "Mammalia"
"476" -3306 68.5 "Mammalia"
"477" -3341 79.4 "Mammalia"
"478" -3434 94.1 "Mammalia"
"479" -3511 94.9 "Mammalia"
"480" -3583 95.3 "Mammalia"
"481" -3597 95.7 "Mammalia"
"482" -3601 96.4 "Mammalia"
"483" -3635 96.6 "Mammalia"
"484" -3677 96.9 "Mammalia"
"485" -3729 96.9 "Mammalia"
"486" -3866 97.1 "Mammalia"
"487" -3878 96.9 "Mammalia"
"488" -3911 97.1 "Mammalia"
"489" -4010 97.6 "Mammalia"
"490" -4012 97.5 "Mammalia"
"491" -4056 97.2 "Mammalia"
"492" -4066 96.9 "Mammalia"
"493" -4090 96.5 "Mammalia"
"494" -4098 96.2 "Mammalia"
"495" -4101 91.1 "Mammalia"
"496" -4123 89.5 "Mammalia"
"497" -4202 91.8 "Mammalia"
"498" -4211 91.5 "Mammalia"
"499" -4221 96 "Mammalia"
"500" -4245 94.6 "Mammalia"
"501" -4263 51.5 "Mammalia"
"502" -4335 94.2 "Mammalia"
"503" -4411 95.1 "Mammalia"
"504" -4441 95.2 "Mammalia"
"505" -4522 96 "Mammalia"
"506" -4656 95.9 "Mammalia"
"507" -4691 96.3 "Mammalia"
"508" -4796 97.1 "Mammalia"
"509" -4902 97 "Mammalia"
"510" -4944 97.2 "Mammalia"
"511" -4998 97.2 "Mammalia"
"512" -5015 97 "Mammalia"
"513" -5059 96.9 "Mammalia"
"514" -5069 96.7 "Mammalia"
"515" -5310 96.8 "Mammalia"
"516" -5317 96.6 "Mammalia"
"517" -5347 97.1 "Mammalia"
"518" -5349 96.8 "Mammalia"
"519" -5393 95.5 "Mammalia"
"520" -5397 95.9 "Mammalia"
"521" -5405 95.5 "Mammalia"
"522" -5409 95.1 "Mammalia"
"523" -5438 95.4 "Mammalia"
"524" -5469 95.7 "Mammalia"
"525" -5490 95.7 "Mammalia"
"526" -5494 95.1 "Mammalia"
"527" -5499 96.1 "Mammalia"
"528" -5527 96.1 "Mammalia"
"529" -5537 96 "Mammalia"
"530" -5541 96 "Mammalia"
"531" -5584 96.3 "Mammalia"
"532" -5606 96.6 "Mammalia"
"533" -5638 96.7 "Mammalia"
"534" -5648 96.5 "Mammalia"
"535" -5772 92.5 "Mammalia"
"536" -5787 95.7 "Mammalia"
"537" -5840 97.1 "Mammalia"
"538" -5900 96.7 "Mammalia"
"539" -5905 96.4 "Mammalia"
"540" -5968 89.3 "Mammalia"
"541" -5978 86.9 "Mammalia"
"542" -6020 76.9 "Mammalia"
"543" -6022 91.2 "Mammalia"
"544" -6032 95.7 "Mammalia"
"545" -6066 95.5 "Mammalia"
"546" -6098 95 "Mammalia"
"547" -6124 95.5 "Mammalia"
"548" -6128 95.8 "Mammalia"
"549" -6171 94.5 "Mammalia"
"550" -6442 88.2 "Mammalia"
"551" -6456 94.2 "Mammalia"
"552" -6695 96.3 "Mammalia"
"553" -6768 95.9 "Mammalia"
"554" -6804 96 "Mammalia"
"555" -6826 95.8 "Mammalia"
"556" -6843 94.8 "Mammalia"
"557" -6866 85.2 "Mammalia"
"558" -6874 93.6 "Mammalia"
"559" -6898 95.6 "Mammalia"
"560" -6955 94.4 "Mammalia"
"561" -6971 93.8 "Mammalia"
"562" -7118 89.5 "Mammalia"
"563" -7384 56.5 "Mammalia"
"564" -7426 8.2 "Mammalia"
"565" -7438 5.2 "Mammalia"
"566" -7482 29.6 "Mammalia"
"567" -7516 17.7 "Mammalia"
"568" -7527 10.3 "Mammalia"
"569" -7568 20 "Mammalia"
"570" -7640 39.2 "Mammalia"
"571" -7648 35.4 "Mammalia"
"572" -7654 38 "Mammalia"
"573" -7678 42.5 "Mammalia"
"574" -7960 4 "Mammalia"
"575" -7971 2.7 "Mammalia"
"576" -8047 2.5 "Mammalia"
"577" -8256 3.2 "Mammalia"
"578" -8380 3 "Mammalia"
"579" -8399 3 "Mammalia"
"580" -8418 3.1 "Mammalia"
"581" -8485 5.8 "Mammalia"
"582" -8573 7.8 "Mammalia"
"583" -8749 90.9 "Mammalia"
"584" -8780 90.2 "Mammalia"
"585" -8789 92.4 "Mammalia"
"586" -8822 92.2 "Mammalia"
"587" -8915 92.3 "Mammalia"
"588" -9014 92.5 "Mammalia"
"589" -9038 96.8 "Mammalia"
"590" -9045 97.1 "Mammalia"
"591" -9100 96.9 "Mammalia"
"592" -9108 96.5 "Mammalia"
"593" -9130 96.4 "Mammalia"
"594" -9199 96.7 "Mammalia"
"595" -9242 96.8 "Mammalia"
"596" -9252 96.6 "Mammalia"
"597" -9270 96.6 "Mammalia"
"598" -9331 96.8 "Mammalia"
"599" -9341 96.8 "Mammalia"
"600" -9365 96.8 "Mammalia"
"601" -9397 96.6 "Mammalia"
"602" -9421 96.2 "Mammalia"
"603" -9427 97 "Mammalia"
"604" -9429 96.9 "Mammalia"
"605" -9451 95.2 "Mammalia"
"606" -9461 96.1 "Mammalia"
"607" -9598 95.4 "Mammalia"
"608" -9620 95.3 "Mammalia"
"609" -9660 94.9 "Mammalia"
"610" -9683 70 "Mammalia"
"611" -9690 93.4 "Mammalia"
"612" -9707 95.1 "Mammalia"
"613" -9759 94.3 "Mammalia"
"614" -9764 96.3 "Mammalia"
"615" -9791 96.4 "Mammalia"
"616" -9847 96.5 "Mammalia"
"617" -9855 96.7 "Mammalia"
"618" -9977 96.7 "Mammalia"
"619" 9997 95.6 "Mammalia"
"620" 9980 93.4 "Mammalia"
"621" 9929 91.4 "Mammalia"
"622" 9910 95 "Mammalia"
"623" 9902 96 "Mammalia"
"624" 9863 94.4 "Mammalia"
"625" 9823 95.3 "Mammalia"
"626" 9731 95.5 "Mammalia"
"627" 9709 91.9 "Mammalia"
"628" 9692 62.1 "Mammalia"
"629" 9545 65.6 "Mammalia"
"630" 9520 62.9 "Mammalia"
"631" 9507 62.7 "Mammalia"
"632" 9475 76.3 "Mammalia"
"633" 9421 78.3 "Mammalia"
"634" 9371 95 "Mammalia"
"635" 9322 94.4 "Mammalia"
"636" 9203 95.8 "Mammalia"
"637" 9089 96.9 "Mammalia"
"638" 9083 96.5 "Mammalia"
"639" 9080 95.8 "Mammalia"
"640" 9058 93 "Mammalia"
"641" 9007 85.4 "Mammalia"
"642" 8977 84.2 "Mammalia"
"643" 8878 94.6 "Mammalia"
"644" 8748 95.1 "Mammalia"
"645" 8742 96.8 "Mammalia"
"646" 8739 96.9 "Mammalia"
"647" 8732 97 "Mammalia"
"648" 8695 96.9 "Mammalia"
"649" 8672 97 "Mammalia"
"650" 8614 96.9 "Mammalia"
"651" 8586 97 "Mammalia"
"652" 8581 96.9 "Mammalia"
"653" 8577 96.7 "Mammalia"
"654" 8570 96.5 "Mammalia"
"655" 8556 96.2 "Mammalia"
"656" 8536 96 "Mammalia"
"657" 8525 96.4 "Mammalia"
"658" 8496 96.5 "Mammalia"
"659" 8492 96.4 "Mammalia"
"660" 8428 96.5 "Mammalia"
"661" 8421 96.2 "Mammalia"
"662" 8404 95.8 "Mammalia"
"663" 8374 95.7 "Mammalia"
"664" 8319 95.1 "Mammalia"
"665" 8245 95.7 "Mammalia"
"666" 8230 96.2 "Mammalia"
"667" 8227 96.3 "Mammalia"
"668" 8153 96.4 "Mammalia"
"669" 8113 96.5 "Mammalia"
"670" 8081 96.4 "Mammalia"
"671" 8007 96 "Mammalia"
"672" 7961 95.7 "Mammalia"
"673" 7927 92.5 "Mammalia"
"674" 7919 78.4 "Mammalia"
"675" 7822 90.4 "Mammalia"
"676" 7805 95.5 "Mammalia"
"677" 7759 95.5 "Mammalia"
"678" 7709 96.9 "Mammalia"
"679" 7707 96.9 "Mammalia"
"680" 7631 96.1 "Mammalia"
"681" 7625 96.1 "Mammalia"
"682" 7530 94.5 "Mammalia"
"683" 7439 65.6 "Mammalia"
"684" 7315 5.3 "Mammalia"
"685" 7254 3.5 "Mammalia"
"686" 7207 3.4 "Mammalia"
"687" 7197 3 "Mammalia"
"688" 7192 2.5 "Mammalia"
"689" 7076 2.8 "Mammalia"
"690" 7064 4.3 "Mammalia"
"691" 7031 22.9 "Mammalia"
"692" 6828 81 "Mammalia"
"693" 6788 87 "Mammalia"
"694" 6779 82.5 "Mammalia"
"695" 6688 94.5 "Mammalia"
"696" 6670 96.1 "Mammalia"
"697" 6647 96.3 "Mammalia"
"698" 6638 96.3 "Mammalia"
"699" 6601 96.6 "Mammalia"
"700" 6594 96.8 "Mammalia"
"701" 6561 97 "Mammalia"
"702" 6410 97 "Mammalia"
"703" 6386 97.2 "Mammalia"
"704" 6374 96.9 "Mammalia"
"705" 6245 96.1 "Mammalia"
"706" 6229 95.5 "Mammalia"
"707" 6120 70.4 "Mammalia"
"708" 6093 71.4 "Mammalia"
"709" 6028 94.9 "Mammalia"
"710" 6019 95.5 "Mammalia"
"711" 5909 95.4 "Mammalia"
"712" 5841 95.5 "Mammalia"
"713" 5838 95.3 "Mammalia"
"714" 5834 95.6 "Mammalia"
"715" 5822 96 "Mammalia"
"716" 5789 96.2 "Mammalia"
"717" 5699 96.2 "Mammalia"
"718" 5645 95.5 "Mammalia"
"719" 5459 95 "Mammalia"
"720" 5449 92 "Mammalia"
"721" 5447 73.7 "Mammalia"
"722" 5437 36.8 "Mammalia"
"723" 5403 3.8 "Mammalia"
"724" 5279 33.3 "Mammalia"
"725" 5210 42.1 "Mammalia"
"726" 5191 42.6 "Mammalia"
"727" 5184 46.6 "Mammalia"
"728" 5112 54.5 "Mammalia"
"729" 5065 62.4 "Mammalia"
"730" 5033 65 "Mammalia"
"731" 4816 7.8 "Mammalia"
"732" 4603 5.8 "Mammalia"
"733" 4553 3 "Mammalia"
"734" 4446 3.8 "Mammalia"
"735" 4386 2.9 "Mammalia"
"736" 4255 3.4 "Mammalia"
"737" 4164 4.2 "Mammalia"
"738" 4138 4.6 "Mammalia"
"739" 4130 4 "Mammalia"
"740" 3980 3.9 "Mammalia"
"741" 3922 3 "Mammalia"
"742" 3898 3.7 "Mammalia"
"743" 3853 3 "Mammalia"
"744" 3312 2.8 "Mammalia"
"745" 3266 2.5 "Mammalia"
"746" 3230 3.3 "Mammalia"
"747" 3121 3.3 "Mammalia"
"748" 3065 3.4 "Mammalia"
"749" 3036 4.1 "Mammalia"
"750" 3027 9.7 "Mammalia"
"751" 3008 13.8 "Mammalia"
"752" 2907 10.3 "Mammalia"
"753" 2875 3.8 "Mammalia"
"754" 2857 2.8 "Mammalia"
"755" 2841 2.8 "Mammalia"
"756" 2834 3.5 "Mammalia"
