"spcdist" "p_value"
"120" -9881 0.865
"121" -9880 0.995
"122" -9879 0.859
"123" -9878 1
"124" -9877 0.989
"125" -9876 0.998
"126" -9875 0.973
"127" -9874 0.97
"128" -9873 0.988
"129" -9872 0.982
"130" -9871 0.99
"131" -9870 0.82
"132" -9869 0.983
"133" -9868 0.996
"134" -9867 0.996
"135" -9866 0.873
"136" -9865 0.784
"137" -9864 0.998
"138" -9863 0.88
"139" -9862 0.785
"140" -9861 0.993
"141" -9860 0.696
"142" -9859 0.999
"143" -9858 0.898
"144" -9857 0.91
"145" -9856 0.989
"146" -9855 0.998
"147" -9854 0.305
"148" -9853 0.635
"149" -9852 0.969
"150" -9851 0.975
"151" -9850 0.922
"152" -9849 0.667
"153" -9848 0.722
"154" -9847 0.952
"155" -9846 0.996
"156" -9845 1
"157" -9844 1
"158" -9843 0.972
"159" -9842 0.937
"160" -9841 0.989
"161" -9840 0.976
"162" -9839 0.911
"163" -9838 0.983
"164" -9837 0.994
"165" -9836 0.998
"166" -9835 0.995
"167" -9834 0.723
"168" -9833 0.973
"169" -9832 0.932
"170" -9831 0.975
"171" -9830 0.497
"172" -9829 0.957
"173" -9828 0.99
"174" -9827 1
"175" -9826 0.996
"176" -9825 0.999
"177" -9824 0.949
"178" -9823 0.989
"179" -9822 0.988
"180" -9821 0.92
"181" -9820 1
"182" -9819 0.979
"183" -9818 0.959
"184" -9817 0.814
"185" -9816 0.691
"186" -9815 0.988
"187" -9814 0.998
"188" -9813 0.972
"189" -9812 0.857
"190" -9811 0.994
"191" -9810 0.485
"192" -9809 0.967
"193" -9808 0.999
"194" -9807 0.915
"195" -9806 0.986
"196" -9805 0.999
"197" -9804 0.964
"198" -9803 0.831
"199" -9802 0.979
"200" -9801 0.957
"201" -9800 1
"202" -9799 0.997
"203" -9798 0.999
"204" -9797 0.926
"205" -9796 0.901
"206" -9795 0.475
"207" -9794 0.973
"208" -9793 0.92
"209" -9792 0.996
"210" -9791 0.991
"211" -9790 0.798
"212" -9789 0.997
"213" -9788 1
"214" -9787 0.878
"215" -9786 0.771
"216" -9785 0.953
"217" -9784 0.602
"218" -9783 0.998
"219" -9782 0.72
"220" -9781 0.998
"221" -9780 0.919
"222" -9779 0.859
"223" -9778 0.99
"224" -9777 0.984
"225" -9776 0.96
"226" -9775 0.645
"227" -9774 0.926
"228" -9773 0.997
"229" -9772 0.994
"230" -9771 0.998
"231" -9770 0.919
"232" -9769 0.859
"233" -9768 0.969
"234" -9767 0.949
"235" -9766 0.569
"236" -9765 1
"237" -9764 0.908
"238" -9763 0.942
"239" -9762 0.713
"240" -9761 0.929
"241" -9760 0.765
"242" -9759 0.991
"243" -9758 1
"244" -9757 0.976
"245" -9756 1
"246" -9755 0.512
"247" -9754 0.995
"248" -9753 0.995
"249" -9752 0.984
"250" -9751 0.865
"251" -9750 1
"252" -9749 0.971
"253" -9748 0.883
"254" -9747 0.872
"255" -9746 0.999
"256" -9745 0.921
"257" -9744 0.947
"258" -9743 0.994
"259" -9742 1
"260" -9741 0.781
"261" -9740 0.972
"262" -9739 0.975
"263" -9738 0.906
"264" -9737 0.991
"265" -9736 0.949
"266" -9735 0.757
"267" -9734 0.992
"268" -9733 0.932
"269" -9732 0.927
"270" -9731 0.609
"271" -9730 0.983
"272" -9729 0.639
"273" -9728 1
"274" -9727 0.916
"275" -9726 0.994
"276" -9725 0.976
"277" -9724 0.921
"278" -9723 0.941
"279" -9722 0.859
"280" -9721 0.996
"281" -9720 1
"282" -9719 1
"283" -9718 0.906
"284" -9717 0.963
"285" -9716 0.846
"286" -9715 0.973
"287" -9714 0.981
"288" -9713 0.262
"289" -9712 0.995
"290" -9711 0.784
"291" -9710 0.995
"292" -9709 0.702
"293" -9708 0.955
"294" -9707 0.956
"295" -9706 0.997
"296" -9705 0.979
"297" -9704 0.98
"298" -9703 0.955
"299" -9702 0.856
"300" -9701 0.992
"301" -9700 1
"302" -9699 0.782
"303" -9698 0.992
"304" -9697 0.975
"305" -9696 0.999
"306" -9695 0.994
"307" -9694 0.993
"308" -9693 0.987
"309" -9692 1
"310" -9691 0.983
"311" -9690 0.916
"312" -9689 0.994
"313" -9688 0.798
"314" -9687 0.996
"315" -9686 0.986
"316" -9685 0.995
"317" -9684 0.996
"318" -9683 0.999
"319" -9682 0.997
"320" -9681 0.996
"321" -9680 1
"322" -9679 0.933
"323" -9678 0.891
"324" -9677 0.927
"325" -9676 0.994
"326" -9675 0.997
"327" -9674 0.755
"328" -9673 0.698
"329" -9672 0.993
"330" -9671 0.984
"331" -9670 0.789
"332" -9669 0.588
"333" -9668 0.976
"334" -9667 0.978
"335" -9666 0.905
"336" -9665 0.982
"337" -9664 0.924
"338" -9663 0.892
"339" -9662 0.993
"340" -9661 0.971
"341" -9660 0.933
"342" -9659 0.972
"343" -9658 0.991
"344" -9657 0.929
"345" -9656 0.988
"346" -9655 0.999
"347" -9654 0.953
"348" -9653 0.744
"349" -9652 0.957
"350" -9651 0.988
"351" -9650 1
"352" -9649 0.992
"353" -9648 0.978
"354" -9647 0.984
"355" -9646 0.992
"356" -9645 0.719
"357" -9644 0.961
"358" -9643 0.933
"359" -9642 0.955
"360" -9641 0.998
"361" -9640 0.992
"362" -9639 0.999
"363" -9638 0.909
"364" -9637 1
"365" -9636 0.973
"366" -9635 0.92
"367" -9634 0.897
"368" -9633 0.996
"369" -9632 0.946
"370" -9631 0.988
"371" -9630 0.955
"372" -9629 0.993
"373" -9628 1
"374" -9627 0.991
"375" -9626 0.771
"376" -9625 0.979
"377" -9624 0.997
"378" -9623 0.954
"379" -9622 0.986
"380" -9621 0.994
"381" -9620 0.754
"382" -9619 0.969
"383" -9618 0.83
"384" -9617 0.53
"385" -9616 0.995
"386" -9615 0.997
"387" -9614 0.973
"388" -9613 0.827
"389" -9612 0.908
"390" -9611 0.965
"391" -9610 1
"392" -9609 0.997
"393" -9608 0.913
"394" -9607 0.941
"395" -9606 0.943
"396" -9605 0.974
"397" -9604 0.967
"398" -9603 0.979
"399" -9602 0.998
"400" -9601 0.673
"401" -9600 0.631
"402" -9599 0.999
"403" -9598 0.997
"404" -9597 0.993
"405" -9596 0.97
"406" -9595 0.969
"407" -9594 0.993
"408" -9593 0.998
"409" -9592 0.999
"410" -9591 0.987
"411" -9590 0.856
"412" -9589 0.972
"413" -9588 0.986
"414" -9587 0.999
"415" -9586 0.954
"416" -9585 0.995
"417" -9584 0.992
"418" -9583 0.995
"419" -9582 0.987
"420" -9581 0.962
"421" -9580 0.992
"422" -9579 1
"423" -9578 0.992
"424" -9577 0.984
"425" -9576 0.967
"426" -9575 0.41
"427" -9574 0.99
"428" -9573 0.999
"429" -9572 0.966
"430" -9571 0.999
"431" -9570 0.861
"432" -9569 0.872
"433" -9568 0.995
"434" -9567 0.999
"435" -9566 0.864
"436" -9565 0.98
"437" -9564 0.904
"438" -9563 0.988
"439" -9562 0.999
"440" -9561 0.994
"441" -9560 0.879
"442" -9559 0.988
"443" -9558 0.978
"444" -9557 0.969
"445" -9556 1
"446" -9555 0.999
"447" -9554 0.888
"448" -9553 0.822
"449" -9552 1
"450" -9551 0.848
"451" -9550 0.912
"452" -9549 0.925
"453" -9548 0.989
"454" -9547 0.522
"455" -9546 0.999
"456" -9545 0.653
"457" -9544 0.993
"458" -9543 0.999
"459" -9542 1
"460" -9541 1
"461" -9540 1
"462" -9539 0.995
"463" -9538 0.982
"464" -9537 0.934
"465" -9536 0.981
"466" -9535 0.999
"467" -9534 0.996
"468" -9533 0.974
"469" -9532 1
"470" -9531 0.679
"471" -9530 0.893
"472" -9529 0.994
"473" -9528 0.983
"474" -9527 0.997
"475" -9526 0.997
"476" -9525 0.939
"477" -9524 0.868
"478" -9523 0.966
"479" -9522 0.724
"480" -9521 0.999
"481" -9520 1
"482" -9519 0.989
"483" -9518 0.964
"484" -9517 1
"485" -9516 1
"486" -9515 0.994
"487" -9514 0.924
"488" -9513 1
"489" -9512 0.98
"490" -9511 0.985
"491" -9510 0.959
"492" -9509 0.872
"493" -9508 0.998
"494" -9507 0.967
"495" -9506 0.997
"496" -9505 0.998
"497" -9504 0.848
"498" -9503 1
"499" -9502 1
"500" -9501 0.997
"501" -9500 0.991
"502" -9499 0.997
"503" -9498 0.991
"504" -9497 0.976
"505" -9496 1
"506" -9495 0.995
"507" -9494 0.937
"508" -9493 0.99
"509" -9492 0.877
"510" -9491 0.89
"511" -9490 0.995
"512" -9489 0.989
"513" -9488 0.98
"514" -9487 0.99
"515" -9486 0.998
"516" -9485 0.979
"517" -9484 0.983
"518" -9483 0.801
"519" -9482 0.868
"520" -9481 1
"521" -9480 0.912
"522" -9479 0.996
"523" -9478 0.847
"524" -9477 0.957
"525" -9476 0.99
"526" -9475 0.994
"527" -9474 0.995
"528" -9473 0.833
"529" -9472 1
"530" -9471 0.956
"531" -9470 0.965
"532" -9469 0.977
"533" -9468 0.999
"534" -9467 0.986
"535" -9466 0.816
"536" -9465 0.914
"537" -9464 0.894
"538" -9463 0.992
"539" -9462 0.893
"540" -9461 0.997
"541" -9460 0.582
"542" -9459 1
"543" -9458 0.925
"544" -9457 0.994
"545" -9456 0.989
"546" -9455 0.999
"547" -9454 0.54
"548" -9453 0.999
"549" -9452 0.961
"550" -9451 0.72
"551" -9450 0.992
"552" -9449 0.984
"553" -9448 1
"554" -9447 0.983
"555" -9446 0.919
"556" -9445 0.976
"557" -9444 0.992
"558" -9443 0.861
"559" -9442 0.948
"560" -9441 0.858
"561" -9440 0.989
"562" -9439 0.997
"563" -9438 0.861
"564" -9437 0.996
"565" -9436 0.991
"566" -9435 1
"567" -9434 0.968
"568" -9433 1
"569" -9432 0.947
"570" -9431 0.999
"571" -9430 0.995
"572" -9429 0.99
"573" -9428 0.972
"574" -9427 1
"575" -9426 0.954
"576" -9425 0.996
"577" -9424 0.797
"578" -9423 0.983
"579" -9422 0.974
"580" -9421 0.818
"581" -9420 0.986
"582" -9419 0.995
"583" -9418 0.951
"584" -9417 0.972
"585" -9416 1
"586" -9415 0.881
"587" -9414 0.837
"588" -9413 0.947
"589" -9412 0.896
"590" -9411 0.92
"591" -9410 0.987
"592" -9409 0.888
"593" -9408 0.876
"594" -9407 0.996
"595" -9406 0.995
"596" -9405 1
"597" -9404 0.973
"598" -9403 0.614
"599" -9402 0.996
"600" -9401 1
"601" -9400 0.992
"602" -9399 0.993
"603" -9398 0.866
"604" -9397 0.987
"605" -9396 0.999
"606" -9395 0.998
"607" -9394 0.933
"608" -9393 0.998
"609" -9392 1
"610" -9391 0.997
"611" -9390 0.976
"612" -9389 0.998
"613" -9388 0.971
"614" -9387 0.947
"615" -9386 0.921
"616" -9385 0.97
"617" -9384 0.996
"618" -9383 0.976
"619" -9382 0.999
"620" -9381 0.99
"621" -9380 0.869
"622" -9379 0.999
"623" -9378 0.856
"624" -9377 0.98
"625" -9376 0.994
"626" -9375 0.706
"627" -9374 0.963
"628" -9373 0.907
"629" -9372 0.993
"630" -9371 0.926
"631" -9370 1
"632" -9369 0.785
"633" -9368 1
"634" -9367 0.999
"635" -9366 0.996
"636" -9365 0.916
"637" -9364 0.99
"638" -9363 0.74
"639" -9362 0.998
"640" -9361 0.977
"641" -9360 0.929
"642" -9359 0.993
"643" -9358 0.97
"644" -9357 0.957
"645" -9356 0.915
"646" -9355 0.969
"647" -9354 0.95
"648" -9353 0.987
"649" -9352 0.981
"650" -9351 0.58
"651" -9350 0.983
"652" -9349 0.976
"653" -9348 0.994
"654" -9347 1
"655" -9346 0.996
"656" -9345 0.993
"657" -9344 0.982
"658" -9343 0.976
"659" -9342 0.999
"660" -9341 0.965
"661" -9340 0.714
"662" -9339 0.803
"663" -9338 0.975
"664" -9337 0.972
"665" -9336 0.997
"666" -9335 0.918
"667" -9334 0.948
"668" -9333 0.996
"669" -9332 1
"670" -9331 0.981
"671" -9330 0.729
"672" -9329 0.82
"673" -9328 0.963
"674" -9327 0.962
"675" -9326 0.974
"676" -9325 0.587
"677" -9324 0.927
"678" -9323 0.982
"679" -9322 0.878
"680" -9321 0.693
"681" -9320 0.958
"682" -9319 0.808
"683" -9318 0.986
"684" -9317 0.926
"685" -9316 0.936
"686" -9315 0.981
"687" -9314 0.854
"688" -9313 0.83
"689" -9312 0.923
"690" -9311 0.954
"691" -9310 1
"692" -9309 0.938
"693" -9308 0.939
"694" -9307 0.922
"695" -9306 1
"696" -9305 0.983
"697" -9304 0.841
"698" -9303 0.989
"699" -9302 0.622
"700" -9301 0.967
"701" -9300 1
"702" -9299 0.952
"703" -9298 0.98
"704" -9297 0.8
"705" -9296 0.894
"706" -9295 0.996
"707" -9294 0.999
"708" -9293 0.932
"709" -9292 1
"710" -9291 1
"711" -9290 0.994
"712" -9289 0.917
"713" -9288 1
"714" -9287 0.968
"715" -9286 1
"716" -9285 0.775
"717" -9284 1
"718" -9283 0.757
"719" -9282 0.783
"720" -9281 0.998
"721" -9280 0.995
"722" -9279 1
"723" -9278 0.892
"724" -9277 0.996
"725" -9276 0.992
"726" -9275 0.582
"727" -9274 0.544
"728" -9273 0.997
"729" -9272 0.998
"730" -9271 0.924
"731" -9270 0.635
"732" -9269 0.896
"733" -9268 0.996
"734" -9267 0.991
"735" -9266 0.91
"736" -9265 0.763
"737" -9264 0.999
"738" -9263 0.783
"739" -9262 0.93
"740" -9261 0.926
"741" -9260 0.826
"742" -9259 1
"743" -9258 0.871
"744" -9257 0.994
"745" -9256 0.813
"746" -9255 0.998
"747" -9254 0.978
"748" -9253 1
"749" -9252 0.994
"750" -9251 0.968
"751" -9250 0.993
"752" -9249 0.958
"753" -9248 0.976
"754" -9247 0.802
"755" -9246 0.953
"756" -9245 0.998
"757" -9244 0.984
"758" -9243 0.992
"759" -9242 0.958
"760" -9241 0.999
"761" -9240 0.873
"762" -9239 0.971
"763" -9238 0.999
"764" -9237 0.979
"765" -9236 0.765
"766" -9235 0.909
"767" -9234 0.989
"768" -9233 0.952
"769" -9232 0.673
"770" -9231 0.996
"771" -9230 0.769
"772" -9229 0.834
"773" -9228 0.995
"774" -9227 0.961
"775" -9226 1
"776" -9225 0.454
"777" -9224 0.954
"778" -9223 0.941
"779" -9222 0.775
"780" -9221 0.676
"781" -9220 0.954
"782" -9219 0.993
"783" -9218 0.569
"784" -9217 0.792
"785" -9216 0.997
"786" -9215 0.981
"787" -9214 1
"788" -9213 0.941
"789" -9212 1
"790" -9211 0.947
"791" -9210 0.959
"792" -9209 0.999
"793" -9208 0.889
"794" -9207 0.968
"795" -9206 0.963
"796" -9205 0.87
"797" -9204 0.995
"798" -9203 0.901
"799" -9202 0.672
"800" -9201 0.993
"801" -9200 0.902
"802" -9199 0.895
"803" -9198 0.991
"804" -9197 0.632
"805" -9196 0.738
"806" -9195 0.967
"807" -9194 0.997
"808" -9193 0.998
"809" -9192 0.963
"810" -9191 0.849
"811" -9190 0.948
"812" -9189 1
"813" -9188 0.996
"814" -9187 0.994
"815" -9186 1
"816" -9185 0.992
"817" -9184 0.989
"818" -9183 0.7
"819" -9182 0.814
"820" -9181 0.808
"821" -9180 0.979
"822" -9179 0.959
"823" -9178 0.998
"824" -9177 0.984
"825" -9176 0.743
"826" -9175 0.992
"827" -9174 0.977
"828" -9173 0.946
"829" -9172 0.96
"830" -9171 0.909
"831" -9170 0.912
"832" -9169 0.906
"833" -9168 0.963
"834" -9167 0.972
"835" -9166 0.982
"836" -9165 0.999
"837" -9164 0.852
"838" -9163 0.934
"839" -9162 0.966
"840" -9161 0.971
"841" -9160 0.988
"842" -9159 0.908
"843" -9158 0.821
"844" -9157 0.961
"845" -9156 0.992
"846" -9155 0.999
"847" -9154 0.987
"848" -9153 0.985
"849" -9152 0.974
"850" -9151 0.912
"851" -9150 0.928
"852" -9149 0.975
"853" -9148 0.89
"854" -9147 0.999
"855" -9146 0.987
"856" -9145 1
"857" -9144 0.903
"858" -9143 0.992
"859" -9142 0.872
"860" -9141 0.982
"861" -9140 0.992
"862" -9139 1
"863" -9138 0.917
"864" -9137 0.932
"865" -9136 0.99
"866" -9135 0.99
"867" -9134 0.982
"868" -9133 0.986
"869" -9132 0.826
"870" -9131 0.988
"871" -9130 0.971
"872" -9129 0.991
"873" -9128 0.98
"874" -9127 0.998
"875" -9126 0.975
"876" -9125 0.812
"877" -9124 0.998
"878" -9123 0.963
"879" -9122 0.935
"880" -9121 0.979
"881" -9120 0.969
"882" -9119 0.999
"883" -9118 0.999
"884" -9117 0.957
"885" -9116 0.985
"886" -9115 0.954
"887" -9114 0.896
"888" -9113 0.994
"889" -9112 0.972
"890" -9111 0.969
"891" -9110 0.97
"892" -9109 0.996
"893" -9108 0.998
"894" -9107 1
"895" -9106 0.912
"896" -9105 0.997
"897" -9104 0.998
"898" -9103 0.974
"899" -9102 0.989
"900" -9101 0.981
"901" -9100 0.984
"902" -9099 0.965
"903" -9098 0.603
"904" -9097 0.998
"905" -9096 0.961
"906" -9095 0.934
"907" -9094 0.986
"908" -9093 0.989
"909" -9092 0.941
"910" -9091 0.994
"911" -9090 0.977
"912" -9089 0.979
"913" -9088 0.725
"914" -9087 0.973
"915" -9086 0.955
"916" -9085 0.765
"917" -9084 0.943
"918" -9083 0.995
"919" -9082 0.942
"920" -9081 0.995
"921" -9080 0.957
"922" -9079 0.992
"923" -9078 0.987
"924" -9077 0.959
"925" -9076 0.987
"926" -9075 0.969
"927" -9074 1
"928" -9073 0.973
"929" -9072 0.605
"930" -9071 0.911
"931" -9070 0.985
"932" -9069 0.976
"933" -9068 1
"934" -9067 0.905
"935" -9066 0.952
"936" -9065 0.975
"937" -9064 0.948
"938" -9063 0.998
"939" -9062 0.875
"940" -9061 0.95
"941" -9060 0.871
"942" -9059 0.991
"943" -9058 0.967
"944" -9057 0.845
"945" -9056 1
"946" -9055 0.998
"947" -9054 0.902
"948" -9053 0.843
"949" -9052 1
"950" -9051 0.939
"951" -9050 0.979
"952" -9049 0.963
"953" -9048 0.752
"954" -9047 0.978
"955" -9046 0.883
"956" -9045 0.904
"957" -9044 0.939
"958" -9043 0.88
"959" -9042 0.966
"960" -9041 0.985
"961" -9040 0.985
"962" -9039 0.946
"963" -9038 0.976
"964" -9037 0.842
"965" -9036 0.921
"966" -9035 0.959
"967" -9034 1
"968" -9033 0.988
"969" -9032 0.943
"970" -9031 0.934
"971" -9030 0.981
"972" -9029 0.998
"973" -9028 0.979
"974" -9027 0.894
"975" -9026 0.962
"976" -9025 0.931
"977" -9024 0.999
"978" -9023 0.991
"979" -9022 0.944
"980" -9021 0.993
"981" -9020 0.946
"982" -9019 0.971
"983" -9018 0.744
"984" -9017 0.999
"985" -9016 1
"986" -9015 0.685
"987" -9014 1
"988" -9013 0.975
"989" -9012 0.998
"990" -9011 0.98
"991" -9010 0.993
"992" -9009 0.996
"993" -9008 0.908
"994" -9007 0.993
"995" -9006 0.918
"996" -9005 0.997
"997" -9004 0.825
"998" -9003 0.907
"999" -9002 0.778
"1000" -9001 0.88
"1001" -9000 0.987
"1002" -8999 0.966
"1003" -8998 0.815
"1004" -8997 0.972
"1005" -8996 1
"1006" -8995 0.987
"1007" -8994 0.996
"1008" -8993 0.81
"1009" -8992 0.92
"1010" -8991 0.948
"1011" -8990 0.547
"1012" -8989 0.861
"1013" -8988 0.923
"1014" -8987 0.994
"1015" -8986 0.983
"1016" -8985 0.833
"1017" -8984 0.994
"1018" -8983 0.987
"1019" -8982 0.934
"1020" -8981 1
"1021" -8980 0.998
"1022" -8979 0.988
"1023" -8978 0.996
"1024" -8977 0.984
"1025" -8976 1
"1026" -8975 1
"1027" -8974 0.879
"1028" -8973 1
"1029" -8972 0.988
"1030" -8971 0.993
"1031" -8970 0.975
"1032" -8969 0.977
"1033" -8968 0.968
"1034" -8967 0.563
"1035" -8966 0.599
"1036" -8965 1
"1037" -8964 0.819
"1038" -8963 1
"1039" -8962 0.929
"1040" -8961 0.891
"1041" -8960 0.593
"1042" -8959 0.769
"1043" -8958 0.999
"1044" -8957 0.672
"1045" -8956 1
"1046" -8955 0.896
"1047" -8954 0.99
"1048" -8953 0.966
"1049" -8952 0.893
"1050" -8951 0.997
"1051" -8950 0.994
"1052" -8949 1
"1053" -8948 0.962
"1054" -8947 0.995
"1055" -8946 0.969
"1056" -8945 0.965
"1057" -8944 0.995
"1058" -8943 1
"1059" -8942 0.997
"1060" -8941 0.962
"1061" -8940 0.912
"1062" -8939 1
"1063" -8938 0.984
"1064" -8937 0.936
"1065" -8936 0.96
"1066" -8935 0.891
"1067" -8934 0.988
"1068" -8933 1
"1069" -8932 0.408
"1070" -8931 0.999
"1071" -8930 0.88
"1072" -8929 0.992
"1073" -8928 0.605
"1074" -8927 0.994
"1075" -8926 0.999
"1076" -8925 0.995
"1077" -8924 0.999
"1078" -8923 0.942
"1079" -8922 0.836
"1080" -8921 0.987
"1081" -8920 0.992
"1082" -8919 0.984
"1083" -8918 0.998
"1084" -8917 0.926
"1085" -8916 0.98
"1086" -8915 0.998
"1087" -8914 0.715
"1088" -8913 0.715
"1089" -8912 0.663
"1090" -8911 1
"1091" -8910 0.997
"1092" -8909 0.998
"1093" -8908 0.979
"1094" -8907 0.694
"1095" -8906 0.992
"1096" -8905 0.798
"1097" -8904 0.991
"1098" -8903 0.93
"1099" -8902 0.998
"1100" -8901 0.999
"1101" -8900 0.919
"1102" -8899 0.916
"1103" -8898 0.985
"1104" -8897 0.973
"1105" -8896 0.961
"1106" -8895 0.998
"1107" -8894 0.948
"1108" -8893 0.987
"1109" -8892 0.896
"1110" -8891 0.971
"1111" -8890 0.989
"1112" -8889 0.759
"1113" -8888 0.97
"1114" -8887 0.975
"1115" -8886 0.989
"1116" -8885 0.999
"1117" -8884 0.903
"1118" -8883 0.92
"1119" -8882 0.995
"1120" -8881 0.802
"1121" -8880 0.993
"1122" -8879 0.968
"1123" -8878 1
"1124" -8877 0.804
"1125" -8876 1
"1126" -8875 0.998
"1127" -8874 0.931
"1128" -8873 0.994
"1129" -8872 0.944
"1130" -8871 1
"1131" -8870 0.978
"1132" -8869 0.998
"1133" -8868 0.998
"1134" -8867 0.837
"1135" -8866 1
"1136" -8865 0.99
"1137" -8864 0.993
"1138" -8863 0.998
"1139" -8862 0.986
"1140" -8861 0.932
"1141" -8860 0.995
"1142" -8859 0.959
"1143" -8858 0.987
"1144" -8857 0.995
"1145" -8856 0.998
"1146" -8855 0.678
"1147" -8854 0.992
"1148" -8853 0.962
"1149" -8852 0.909
"1150" -8851 0.999
"1151" -8850 0.995
"1152" -8849 0.957
"1153" -8848 0.98
"1154" -8847 0.793
"1155" -8846 0.998
"1156" -8845 1
"1157" -8844 0.589
"1158" -8843 0.998
"1159" -8842 0.911
"1160" -8841 0.985
"1161" -8840 0.981
"1162" -8839 0.466
"1163" -8838 0.991
"1164" -8837 0.985
"1165" -8836 0.997
"1166" -8835 0.736
"1167" -8834 0.93
"1168" -8833 0.996
"1169" -8832 0.999
"1170" -8831 0.996
"1171" -8830 0.52
"1172" -8829 0.956
"1173" -8828 1
"1174" -8827 0.988
"1175" -8826 0.895
"1176" -8825 0.9
"1177" -8824 0.999
"1178" -8823 0.989
"1179" -8822 0.99
"1180" -8821 0.979
"1181" -8820 0.975
"1182" -8819 0.999
"1183" -8818 0.964
"1184" -8817 0.99
"1185" -8816 0.973
"1186" -8815 0.963
"1187" -8814 0.992
"1188" -8813 0.991
"1189" -8812 0.922
"1190" -8811 0.747
"1191" -8810 0.991
"1192" -8809 0.962
"1193" -8808 1
"1194" -8807 0.925
"1195" -8806 0.948
"1196" -8805 0.685
"1197" -8804 0.893
"1198" -8803 0.984
"1199" -8802 0.995
"1200" -8801 0.998
"1201" -8800 0.999
"1202" -8799 0.91
"1203" -8798 1
"1204" -8797 0.835
"1205" -8796 0.948
"1206" -8795 0.939
"1207" -8794 0.999
"1208" -8793 1
"1209" -8792 0.995
"1210" -8791 0.974
"1211" -8790 0.995
"1212" -8789 0.836
"1213" -8788 0.94
"1214" -8787 0.996
"1215" -8786 0.952
"1216" -8785 0.79
"1217" -8784 0.999
"1218" -8783 1
"1219" -8782 0.997
"1220" -8781 1
"1221" -8780 1
"1222" -8779 0.815
"1223" -8778 0.937
"1224" -8777 0.572
"1225" -8776 0.996
"1226" -8775 1
"1227" -8774 1
"1228" -8773 1
"1229" -8772 0.996
"1230" -8771 1
"1231" -8770 0.983
"1232" -8769 0.999
"1233" -8768 0.999
"1234" -8767 0.994
"1235" -8766 1
"1236" -8765 0.98
"1237" -8764 0.846
"1238" -8763 0.947
"1239" -8762 0.991
"1240" -8761 0.998
"1241" -8760 0.977
"1242" -8759 0.989
"1243" -8758 1
"1244" -8757 0.995
"1245" -8756 0.977
"1246" -8755 0.912
"1247" -8754 0.996
"1248" -8753 0.993
"1249" -8752 0.999
"1250" -8751 0.617
"1251" -8750 0.908
"1252" -8749 0.994
"1253" -8748 0.988
"1254" -8747 0.998
"1255" -8746 0.968
"1256" -8745 0.914
"1257" -8744 0.946
"1258" -8743 0.968
"1259" -8742 0.998
"1260" -8741 0.957
"1261" -8740 1
"1262" -8739 0.977
"1263" -8738 0.996
"1264" -8737 0.999
"1265" -8736 0.996
"1266" -8735 0.992
"1267" -8734 0.952
