"mp"	"count"	"chromosome"	"dinucleotide"	"id"
2.5	3930	"chr11"	"CpG"	"hg38"
2.5	3390	"chr12"	"CpG"	"hg38"
2.5	1808	"chr13"	"CpG"	"hg38"
2.5	2550	"chr14"	"CpG"	"hg38"
2.5	2680	"chr15"	"CpG"	"hg38"
2.5	3168	"chr16"	"CpG"	"hg38"
2.5	4128	"chr17"	"CpG"	"hg38"
2.5	1674	"chr18"	"CpG"	"hg38"
2.5	3892	"chr19"	"CpG"	"hg38"
2.5	5396	"chr2"	"CpG"	"hg38"
2.5	2478	"chr20"	"CpG"	"hg38"
2.5	1104	"chr21"	"CpG"	"hg38"
2.5	1858	"chr22"	"CpG"	"hg38"
2.5	3854	"chr3"	"CpG"	"hg38"
2.5	3330	"chr4"	"CpG"	"hg38"
2.5	3916	"chr5"	"CpG"	"hg38"
2.5	3894	"chr6"	"CpG"	"hg38"
2.5	4046	"chr7"	"CpG"	"hg38"
2.5	3538	"chr8"	"CpG"	"hg38"
2.5	3390	"chr9"	"CpG"	"hg38"
2.5	2656	"chrX"	"CpG"	"hg38"
2.5	346	"chrY"	"CpG"	"hg38"
2.6	10156	"chr1"	"CpG"	"hg38"
2.6	5408	"chr10"	"CpG"	"hg38"
2.6	5942	"chr11"	"CpG"	"hg38"
2.6	5070	"chr12"	"CpG"	"hg38"
2.6	2642	"chr13"	"CpG"	"hg38"
2.6	3594	"chr14"	"CpG"	"hg38"
2.6	3794	"chr15"	"CpG"	"hg38"
2.6	4792	"chr16"	"CpG"	"hg38"
2.6	5764	"chr17"	"CpG"	"hg38"
2.6	2416	"chr18"	"CpG"	"hg38"
2.6	5536	"chr19"	"CpG"	"hg38"
2.6	8246	"chr2"	"CpG"	"hg38"
2.6	3410	"chr20"	"CpG"	"hg38"
2.6	1602	"chr21"	"CpG"	"hg38"
2.6	2854	"chr22"	"CpG"	"hg38"
2.6	5806	"chr3"	"CpG"	"hg38"
2.6	4962	"chr4"	"CpG"	"hg38"
2.6	5580	"chr5"	"CpG"	"hg38"
2.6	5868	"chr6"	"CpG"	"hg38"
2.6	5600	"chr7"	"CpG"	"hg38"
2.6	4944	"chr8"	"CpG"	"hg38"
2.6	5000	"chr9"	"CpG"	"hg38"
2.6	3486	"chrX"	"CpG"	"hg38"
2.6	390	"chrY"	"CpG"	"hg38"
2.7	13776	"chr1"	"CpG"	"hg38"
2.7	7156	"chr10"	"CpG"	"hg38"
2.7	7544	"chr11"	"CpG"	"hg38"
2.7	6898	"chr12"	"CpG"	"hg38"
2.7	3612	"chr13"	"CpG"	"hg38"
2.7	5088	"chr14"	"CpG"	"hg38"
2.7	5164	"chr15"	"CpG"	"hg38"
2.7	6778	"chr16"	"CpG"	"hg38"
2.7	8248	"chr17"	"CpG"	"hg38"
2.7	3422	"chr18"	"CpG"	"hg38"
2.7	7998	"chr19"	"CpG"	"hg38"
2.7	11112	"chr2"	"CpG"	"hg38"
2.7	4728	"chr20"	"CpG"	"hg38"
2.7	2074	"chr21"	"CpG"	"hg38"
2.7	3818	"chr22"	"CpG"	"hg38"
2.7	7962	"chr3"	"CpG"	"hg38"
2.7	6670	"chr4"	"CpG"	"hg38"
2.7	7586	"chr5"	"CpG"	"hg38"
2.7	7906	"chr6"	"CpG"	"hg38"
2.7	8212	"chr7"	"CpG"	"hg38"
2.7	6736	"chr8"	"CpG"	"hg38"
2.7	6860	"chr9"	"CpG"	"hg38"
2.7	4484	"chrX"	"CpG"	"hg38"
2.7	468	"chrY"	"CpG"	"hg38"
2.8	18298	"chr1"	"CpG"	"hg38"
2.8	9668	"chr10"	"CpG"	"hg38"
2.8	10368	"chr11"	"CpG"	"hg38"
2.8	9336	"chr12"	"CpG"	"hg38"
2.8	4686	"chr13"	"CpG"	"hg38"
2.8	6600	"chr14"	"CpG"	"hg38"
2.8	7012	"chr15"	"CpG"	"hg38"
2.8	8604	"chr16"	"CpG"	"hg38"
2.8	11174	"chr17"	"CpG"	"hg38"
2.8	4268	"chr18"	"CpG"	"hg38"
2.8	10676	"chr19"	"CpG"	"hg38"
2.8	14738	"chr2"	"CpG"	"hg38"
2.8	6154	"chr20"	"CpG"	"hg38"
2.8	2784	"chr21"	"CpG"	"hg38"
2.8	4882	"chr22"	"CpG"	"hg38"
2.8	10332	"chr3"	"CpG"	"hg38"
2.8	8596	"chr4"	"CpG"	"hg38"
2.8	9884	"chr5"	"CpG"	"hg38"
2.8	10384	"chr6"	"CpG"	"hg38"
2.8	10122	"chr7"	"CpG"	"hg38"
2.8	8654	"chr8"	"CpG"	"hg38"
2.8	8902	"chr9"	"CpG"	"hg38"
2.8	5636	"chrX"	"CpG"	"hg38"
2.8	550	"chrY"	"CpG"	"hg38"
2.9	23148	"chr1"	"CpG"	"hg38"
2.9	11694	"chr10"	"CpG"	"hg38"
2.9	12814	"chr11"	"CpG"	"hg38"
2.9	11242	"chr12"	"CpG"	"hg38"
2.9	5578	"chr13"	"CpG"	"hg38"
2.9	8294	"chr14"	"CpG"	"hg38"
2.9	8588	"chr15"	"CpG"	"hg38"
2.9	10704	"chr16"	"CpG"	"hg38"
2.9	14134	"chr17"	"CpG"	"hg38"
2.9	5400	"chr18"	"CpG"	"hg38"
2.9	13528	"chr19"	"CpG"	"hg38"
2.9	17630	"chr2"	"CpG"	"hg38"
2.9	7680	"chr20"	"CpG"	"hg38"
2.9	3306	"chr21"	"CpG"	"hg38"
2.9	6280	"chr22"	"CpG"	"hg38"
2.9	13066	"chr3"	"CpG"	"hg38"
2.9	10420	"chr4"	"CpG"	"hg38"
2.9	12308	"chr5"	"CpG"	"hg38"
2.9	12840	"chr6"	"CpG"	"hg38"
2.9	12978	"chr7"	"CpG"	"hg38"
2.9	10604	"chr8"	"CpG"	"hg38"
2.9	11044	"chr9"	"CpG"	"hg38"
2.9	6792	"chrX"	"CpG"	"hg38"
2.9	644	"chrY"	"CpG"	"hg38"
3	27892	"chr1"	"CpG"	"hg38"
3	13476	"chr10"	"CpG"	"hg38"
3	15522	"chr11"	"CpG"	"hg38"
3	13658	"chr12"	"CpG"	"hg38"
3	6834	"chr13"	"CpG"	"hg38"
3	9808	"chr14"	"CpG"	"hg38"
3	10318	"chr15"	"CpG"	"hg38"
3	12690	"chr16"	"CpG"	"hg38"
3	16622	"chr17"	"CpG"	"hg38"
3	6290	"chr18"	"CpG"	"hg38"
3	16264	"chr19"	"CpG"	"hg38"
3	21558	"chr2"	"CpG"	"hg38"
3	9084	"chr20"	"CpG"	"hg38"
3	3820	"chr21"	"CpG"	"hg38"
3	7592	"chr22"	"CpG"	"hg38"
3	15234	"chr3"	"CpG"	"hg38"
3	12340	"chr4"	"CpG"	"hg38"
3	14632	"chr5"	"CpG"	"hg38"
3	15894	"chr6"	"CpG"	"hg38"
3	15298	"chr7"	"CpG"	"hg38"
3	12694	"chr8"	"CpG"	"hg38"
3	13424	"chr9"	"CpG"	"hg38"
3	7562	"chrX"	"CpG"	"hg38"
3	672	"chrY"	"CpG"	"hg38"
3.1	31734	"chr1"	"CpG"	"hg38"
3.1	15448	"chr10"	"CpG"	"hg38"
3.1	17810	"chr11"	"CpG"	"hg38"
3.1	15680	"chr12"	"CpG"	"hg38"
3.1	7818	"chr13"	"CpG"	"hg38"
3.1	10884	"chr14"	"CpG"	"hg38"
3.1	11790	"chr15"	"CpG"	"hg38"
3.1	15172	"chr16"	"CpG"	"hg38"
3.1	18958	"chr17"	"CpG"	"hg38"
3.1	7134	"chr18"	"CpG"	"hg38"
3.1	18972	"chr19"	"CpG"	"hg38"
3.1	24308	"chr2"	"CpG"	"hg38"
3.1	10012	"chr20"	"CpG"	"hg38"
3.1	4324	"chr21"	"CpG"	"hg38"
3.1	8404	"chr22"	"CpG"	"hg38"
3.1	17524	"chr3"	"CpG"	"hg38"
3.1	14206	"chr4"	"CpG"	"hg38"
3.1	16474	"chr5"	"CpG"	"hg38"
3.1	18036	"chr6"	"CpG"	"hg38"
3.1	17444	"chr7"	"CpG"	"hg38"
3.1	14160	"chr8"	"CpG"	"hg38"
3.1	15282	"chr9"	"CpG"	"hg38"
3.1	2	"chrM"	"CpG"	"hg38"
3.1	8324	"chrX"	"CpG"	"hg38"
3.1	818	"chrY"	"CpG"	"hg38"
3.2	34740	"chr1"	"CpG"	"hg38"
3.2	17180	"chr10"	"CpG"	"hg38"
3.2	18918	"chr11"	"CpG"	"hg38"
3.2	16842	"chr12"	"CpG"	"hg38"
3.2	8534	"chr13"	"CpG"	"hg38"
3.2	12038	"chr14"	"CpG"	"hg38"
3.2	12740	"chr15"	"CpG"	"hg38"
3.2	16042	"chr16"	"CpG"	"hg38"
3.2	21024	"chr17"	"CpG"	"hg38"
3.2	7762	"chr18"	"CpG"	"hg38"
3.2	20592	"chr19"	"CpG"	"hg38"
3.2	26460	"chr2"	"CpG"	"hg38"
3.2	10568	"chr20"	"CpG"	"hg38"
3.2	4638	"chr21"	"CpG"	"hg38"
3.2	9014	"chr22"	"CpG"	"hg38"
3.2	19216	"chr3"	"CpG"	"hg38"
3.2	15602	"chr4"	"CpG"	"hg38"
3.2	17812	"chr5"	"CpG"	"hg38"
3.2	19456	"chr6"	"CpG"	"hg38"
3.2	18898	"chr7"	"CpG"	"hg38"
3.2	15448	"chr8"	"CpG"	"hg38"
3.2	16746	"chr9"	"CpG"	"hg38"
3.2	2	"chrM"	"CpG"	"hg38"
3.2	8858	"chrX"	"CpG"	"hg38"
3.2	820	"chrY"	"CpG"	"hg38"
3.3	36298	"chr1"	"CpG"	"hg38"
3.3	17522	"chr10"	"CpG"	"hg38"
3.3	19900	"chr11"	"CpG"	"hg38"
3.3	17618	"chr12"	"CpG"	"hg38"
3.3	8750	"chr13"	"CpG"	"hg38"
3.3	12624	"chr14"	"CpG"	"hg38"
3.3	13328	"chr15"	"CpG"	"hg38"
3.3	16778	"chr16"	"CpG"	"hg38"
3.3	21686	"chr17"	"CpG"	"hg38"
3.3	7728	"chr18"	"CpG"	"hg38"
3.3	21278	"chr19"	"CpG"	"hg38"
3.3	27276	"chr2"	"CpG"	"hg38"
3.3	11004	"chr20"	"CpG"	"hg38"
3.3	4840	"chr21"	"CpG"	"hg38"
3.3	9140	"chr22"	"CpG"	"hg38"
3.3	19968	"chr3"	"CpG"	"hg38"
3.3	15990	"chr4"	"CpG"	"hg38"
3.3	18328	"chr5"	"CpG"	"hg38"
3.3	20512	"chr6"	"CpG"	"hg38"
3.3	19252	"chr7"	"CpG"	"hg38"
3.3	15946	"chr8"	"CpG"	"hg38"
3.3	17124	"chr9"	"CpG"	"hg38"
3.3	12	"chrM"	"CpG"	"hg38"
3.3	8982	"chrX"	"CpG"	"hg38"
3.3	804	"chrY"	"CpG"	"hg38"
3.4	36366	"chr1"	"CpG"	"hg38"
3.4	17426	"chr10"	"CpG"	"hg38"
3.4	19938	"chr11"	"CpG"	"hg38"
3.4	17720	"chr12"	"CpG"	"hg38"
3.4	8740	"chr13"	"CpG"	"hg38"
3.4	12240	"chr14"	"CpG"	"hg38"
3.4	12648	"chr15"	"CpG"	"hg38"
3.4	16700	"chr16"	"CpG"	"hg38"
3.4	21962	"chr17"	"CpG"	"hg38"
3.4	7852	"chr18"	"CpG"	"hg38"
3.4	22314	"chr19"	"CpG"	"hg38"
3.4	27530	"chr2"	"CpG"	"hg38"
3.4	11258	"chr20"	"CpG"	"hg38"
3.4	4980	"chr21"	"CpG"	"hg38"
3.4	9372	"chr22"	"CpG"	"hg38"
3.4	19970	"chr3"	"CpG"	"hg38"
3.4	15722	"chr4"	"CpG"	"hg38"
3.4	18426	"chr5"	"CpG"	"hg38"
3.4	20448	"chr6"	"CpG"	"hg38"
3.4	19760	"chr7"	"CpG"	"hg38"
3.4	15716	"chr8"	"CpG"	"hg38"
3.4	17288	"chr9"	"CpG"	"hg38"
3.4	22	"chrM"	"CpG"	"hg38"
3.4	9196	"chrX"	"CpG"	"hg38"
3.4	786	"chrY"	"CpG"	"hg38"
3.5	34806	"chr1"	"CpG"	"hg38"
3.5	16790	"chr10"	"CpG"	"hg38"
3.5	19114	"chr11"	"CpG"	"hg38"
3.5	17300	"chr12"	"CpG"	"hg38"
3.5	8488	"chr13"	"CpG"	"hg38"
3.5	11976	"chr14"	"CpG"	"hg38"
3.5	12250	"chr15"	"CpG"	"hg38"
3.5	15952	"chr16"	"CpG"	"hg38"
3.5	20994	"chr17"	"CpG"	"hg38"
3.5	7348	"chr18"	"CpG"	"hg38"
3.5	21820	"chr19"	"CpG"	"hg38"
3.5	25680	"chr2"	"CpG"	"hg38"
3.5	10574	"chr20"	"CpG"	"hg38"
3.5	4650	"chr21"	"CpG"	"hg38"
3.5	8754	"chr22"	"CpG"	"hg38"
3.5	19240	"chr3"	"CpG"	"hg38"
3.5	15414	"chr4"	"CpG"	"hg38"
3.5	17940	"chr5"	"CpG"	"hg38"
3.5	19806	"chr6"	"CpG"	"hg38"
3.5	18866	"chr7"	"CpG"	"hg38"
3.5	15528	"chr8"	"CpG"	"hg38"
3.5	16506	"chr9"	"CpG"	"hg38"
3.5	40	"chrM"	"CpG"	"hg38"
3.5	9016	"chrX"	"CpG"	"hg38"
3.5	862	"chrY"	"CpG"	"hg38"
3.6	33326	"chr1"	"CpG"	"hg38"
3.6	16036	"chr10"	"CpG"	"hg38"
3.6	18150	"chr11"	"CpG"	"hg38"
3.6	15942	"chr12"	"CpG"	"hg38"
3.6	7844	"chr13"	"CpG"	"hg38"
3.6	11380	"chr14"	"CpG"	"hg38"
3.6	11338	"chr15"	"CpG"	"hg38"
3.6	15184	"chr16"	"CpG"	"hg38"
3.6	19830	"chr17"	"CpG"	"hg38"
3.6	6876	"chr18"	"CpG"	"hg38"
3.6	20144	"chr19"	"CpG"	"hg38"
3.6	24164	"chr2"	"CpG"	"hg38"
3.6	9690	"chr20"	"CpG"	"hg38"
3.6	4508	"chr21"	"CpG"	"hg38"
3.6	8260	"chr22"	"CpG"	"hg38"
3.6	17966	"chr3"	"CpG"	"hg38"
3.6	14644	"chr4"	"CpG"	"hg38"
3.6	16900	"chr5"	"CpG"	"hg38"
3.6	18718	"chr6"	"CpG"	"hg38"
3.6	17940	"chr7"	"CpG"	"hg38"
3.6	14366	"chr8"	"CpG"	"hg38"
3.6	15150	"chr9"	"CpG"	"hg38"
3.6	46	"chrM"	"CpG"	"hg38"
3.6	8820	"chrX"	"CpG"	"hg38"
3.6	890	"chrY"	"CpG"	"hg38"
3.7	30038	"chr1"	"CpG"	"hg38"
3.7	14558	"chr10"	"CpG"	"hg38"
3.7	16330	"chr11"	"CpG"	"hg38"
3.7	15030	"chr12"	"CpG"	"hg38"
3.7	7492	"chr13"	"CpG"	"hg38"
3.7	9966	"chr14"	"CpG"	"hg38"
