"mp" "length" "chromosome" "type" "genome_id" "prop"
"144" 2.2 692 "chr8" "GC" "hs1" 2.24072482324155e-07
"145" 2.2 634 "chr9" "GC" "hs1" 2.05291840742072e-07
"146" 2.2 660 "chrX" "GC" "hs1" 2.13710749037489e-07
"147" 2.2 100 "chrY" "GC" "hs1" 3.23804165208316e-08
"148" 2.3 2522 "chr1" "GC" "hs1" 8.16634104655373e-07
"149" 2.3 1384 "chr10" "GC" "hs1" 4.48144964648309e-07
"150" 2.3 1502 "chr11" "GC" "hs1" 4.86353856142891e-07
"151" 2.3 1298 "chr12" "GC" "hs1" 4.20297806440394e-07
"152" 2.3 744 "chr13" "GC" "hs1" 2.40910298914987e-07
"153" 2.3 950 "chr14" "GC" "hs1" 3.076139569479e-07
"154" 2.3 1002 "chr15" "GC" "hs1" 3.24451773538733e-07
"155" 2.3 1240 "chr16" "GC" "hs1" 4.01517164858312e-07
"156" 2.3 1320 "chr17" "GC" "hs1" 4.27421498074977e-07
"157" 2.3 666 "chr18" "GC" "hs1" 2.15653574028739e-07
"158" 2.3 1342 "chr19" "GC" "hs1" 4.3454518970956e-07
"159" 2.3 2148 "chr2" "GC" "hs1" 6.95531346867463e-07
"160" 2.3 936 "chr20" "GC" "hs1" 3.03080698634984e-07
"161" 2.3 400 "chr21" "GC" "hs1" 1.29521666083326e-07
"162" 2.3 618 "chr22" "GC" "hs1" 2.00110974098739e-07
"163" 2.3 1464 "chr3" "GC" "hs1" 4.74049297864975e-07
"164" 2.3 1304 "chr4" "GC" "hs1" 4.22240631431644e-07
"165" 2.3 1454 "chr5" "GC" "hs1" 4.70811256212892e-07
"166" 2.3 1466 "chr6" "GC" "hs1" 4.74696906195391e-07
"167" 2.3 1496 "chr7" "GC" "hs1" 4.84411031151641e-07
"168" 2.3 1340 "chr8" "GC" "hs1" 4.33897581379144e-07
"169" 2.3 1216 "chr9" "GC" "hs1" 3.93745864893312e-07
"170" 2.3 1236 "chrX" "GC" "hs1" 4.00221948197479e-07
"171" 2.3 138 "chrY" "GC" "hs1" 4.46849747987476e-08
"172" 2.4 4436 "chr1" "GC" "hs1" 1.43639527686409e-06
"173" 2.4 2440 "chr10" "GC" "hs1" 7.90082163108291e-07
"174" 2.4 2532 "chr11" "GC" "hs1" 8.19872146307456e-07
"175" 2.4 2208 "chr12" "GC" "hs1" 7.14959596779962e-07
"176" 2.4 1286 "chr13" "GC" "hs1" 4.16412156457895e-07
"177" 2.4 1644 "chr14" "GC" "hs1" 5.32334047602472e-07
"178" 2.4 1600 "chr15" "GC" "hs1" 5.18086664333306e-07
"179" 2.4 2178 "chr16" "GC" "hs1" 7.05245471823712e-07
"180" 2.4 2510 "chr17" "GC" "hs1" 8.12748454672873e-07
"181" 2.4 1090 "chr18" "GC" "hs1" 3.52946540077065e-07
"182" 2.4 2430 "chr19" "GC" "hs1" 7.86844121456208e-07
"183" 2.4 3562 "chr2" "GC" "hs1" 1.15339043647202e-06
"184" 2.4 1588 "chr20" "GC" "hs1" 5.14201014350806e-07
"185" 2.4 708 "chr21" "GC" "hs1" 2.29253348967488e-07
"186" 2.4 1250 "chr22" "GC" "hs1" 4.04755206510395e-07
"187" 2.4 2548 "chr3" "GC" "hs1" 8.25053012950789e-07
"188" 2.4 2162 "chr4" "GC" "hs1" 7.00064605180379e-07
"189" 2.4 2536 "chr5" "GC" "hs1" 8.2116736296829e-07
"190" 2.4 2578 "chr6" "GC" "hs1" 8.34767137907039e-07
"191" 2.4 2570 "chr7" "GC" "hs1" 8.32176704585372e-07
"192" 2.4 2208 "chr8" "GC" "hs1" 7.14959596779962e-07
"193" 2.4 2180 "chr9" "GC" "hs1" 7.05893080154129e-07
"194" 2.4 1800 "chrX" "GC" "hs1" 5.82847497374969e-07
"195" 2.4 232 "chrY" "GC" "hs1" 7.51225663283293e-08
"196" 2.5 7008 "chr1" "GC" "hs1" 2.26921958977988e-06
"197" 2.5 3610 "chr10" "GC" "hs1" 1.16893303640202e-06
"198" 2.5 3930 "chr11" "GC" "hs1" 1.27255036926868e-06
"199" 2.5 3390 "chr12" "GC" "hs1" 1.09769612005619e-06
"200" 2.5 1808 "chr13" "GC" "hs1" 5.85437930696636e-07
"201" 2.5 2550 "chr14" "GC" "hs1" 8.25700621281206e-07
"202" 2.5 2680 "chr15" "GC" "hs1" 8.67795162758287e-07
"203" 2.5 3168 "chr16" "GC" "hs1" 1.02581159537995e-06
"204" 2.5 4128 "chr17" "GC" "hs1" 1.33666359397993e-06
"205" 2.5 1674 "chr18" "GC" "hs1" 5.42048172558721e-07
"206" 2.5 3892 "chr19" "GC" "hs1" 1.26024581099077e-06
"207" 2.5 5396 "chr2" "GC" "hs1" 1.74724727546407e-06
"208" 2.5 2478 "chr20" "GC" "hs1" 8.02386721386207e-07
"209" 2.5 1104 "chr21" "GC" "hs1" 3.57479798389981e-07
"210" 2.5 1858 "chr22" "GC" "hs1" 6.01628138957051e-07
"211" 2.5 3854 "chr3" "GC" "hs1" 1.24794125271285e-06
"212" 2.5 3330 "chr4" "GC" "hs1" 1.07826787014369e-06
"213" 2.5 3916 "chr5" "GC" "hs1" 1.26801711095577e-06
"214" 2.5 3894 "chr6" "GC" "hs1" 1.26089341932118e-06
"215" 2.5 4046 "chr7" "GC" "hs1" 1.31011165243285e-06
"216" 2.5 3538 "chr8" "GC" "hs1" 1.14561913650702e-06
"217" 2.5 3390 "chr9" "GC" "hs1" 1.09769612005619e-06
"218" 2.5 2656 "chrX" "GC" "hs1" 8.60023862793288e-07
"219" 2.5 346 "chrY" "GC" "hs1" 1.12036241162077e-07
"220" 2.6 10156 "chr1" "GC" "hs1" 3.28855510185566e-06
"221" 2.6 5408 "chr10" "GC" "hs1" 1.75113292544657e-06
"222" 2.6 5942 "chr11" "GC" "hs1" 1.92404434966781e-06
"223" 2.6 5070 "chr12" "GC" "hs1" 1.64168711760616e-06
"224" 2.6 2642 "chr13" "GC" "hs1" 8.55490604480371e-07
"225" 2.6 3594 "chr14" "GC" "hs1" 1.16375216975869e-06
"226" 2.6 3794 "chr15" "GC" "hs1" 1.22851300280035e-06
"227" 2.6 4792 "chr16" "GC" "hs1" 1.55166955967825e-06
"228" 2.6 5764 "chr17" "GC" "hs1" 1.86640720826073e-06
"229" 2.6 2416 "chr18" "GC" "hs1" 7.82310863143292e-07
"230" 2.6 5536 "chr19" "GC" "hs1" 1.79257985859324e-06
"231" 2.6 8246 "chr2" "GC" "hs1" 2.67008914630777e-06
"232" 2.6 3410 "chr20" "GC" "hs1" 1.10417220336036e-06
"233" 2.6 1602 "chr21" "GC" "hs1" 5.18734272663722e-07
"234" 2.6 2854 "chr22" "GC" "hs1" 9.24137087504534e-07
"235" 2.6 5806 "chr3" "GC" "hs1" 1.88000698319948e-06
"236" 2.6 4962 "chr4" "GC" "hs1" 1.60671626776366e-06
"237" 2.6 5580 "chr5" "GC" "hs1" 1.8068272418624e-06
"238" 2.6 5868 "chr6" "GC" "hs1" 1.9000828414424e-06
"239" 2.6 5600 "chr7" "GC" "hs1" 1.81330332516657e-06
"240" 2.6 4944 "chr8" "GC" "hs1" 1.60088779278991e-06
"241" 2.6 5000 "chr9" "GC" "hs1" 1.61902082604158e-06
"242" 2.6 3486 "chrX" "GC" "hs1" 1.12878131991619e-06
"243" 2.6 390 "chrY" "GC" "hs1" 1.26283624431243e-07
"244" 2.7 13776 "chr1" "GC" "hs1" 4.46072617990976e-06
"245" 2.7 7156 "chr10" "GC" "hs1" 2.31714260623071e-06
"246" 2.7 7544 "chr11" "GC" "hs1" 2.44277862233154e-06
"247" 2.7 6898 "chr12" "GC" "hs1" 2.23360113160696e-06
"248" 2.7 3612 "chr13" "GC" "hs1" 1.16958064473244e-06
"249" 2.7 5088 "chr14" "GC" "hs1" 1.64751559257991e-06
"250" 2.7 5164 "chr15" "GC" "hs1" 1.67212470913574e-06
"251" 2.7 6778 "chr16" "GC" "hs1" 2.19474463178197e-06
"252" 2.7 8248 "chr17" "GC" "hs1" 2.67073675463819e-06
"253" 2.7 3422 "chr18" "GC" "hs1" 1.10805785334286e-06
"254" 2.7 7998 "chr19" "GC" "hs1" 2.58978571333611e-06
"255" 2.7 11112 "chr2" "GC" "hs1" 3.59811188379481e-06
"256" 2.7 4728 "chr20" "GC" "hs1" 1.53094609310492e-06
"257" 2.7 2074 "chr21" "GC" "hs1" 6.71569838642048e-07
"258" 2.7 3818 "chr22" "GC" "hs1" 1.23628430276535e-06
"259" 2.7 7962 "chr3" "GC" "hs1" 2.57812876338861e-06
"260" 2.7 6670 "chr4" "GC" "hs1" 2.15977378193947e-06
"261" 2.7 7586 "chr5" "GC" "hs1" 2.45637839727029e-06
"262" 2.7 7906 "chr6" "GC" "hs1" 2.55999573013695e-06
"263" 2.7 8212 "chr7" "GC" "hs1" 2.65907980469069e-06
"264" 2.7 6736 "chr8" "GC" "hs1" 2.18114485684322e-06
"265" 2.7 6860 "chr9" "GC" "hs1" 2.22129657332905e-06
"266" 2.7 4484 "chrX" "GC" "hs1" 1.45193787679409e-06
"267" 2.7 468 "chrY" "GC" "hs1" 1.51540349317492e-07
"268" 2.8 18298 "chr1" "GC" "hs1" 5.92496861498177e-06
"269" 2.8 9668 "chr10" "GC" "hs1" 3.130538669234e-06
"270" 2.8 10368 "chr11" "GC" "hs1" 3.35720158487982e-06
"271" 2.8 9336 "chr12" "GC" "hs1" 3.02303568638484e-06
"272" 2.8 4686 "chr13" "GC" "hs1" 1.51734631816617e-06
"273" 2.8 6600 "chr14" "GC" "hs1" 2.13710749037489e-06
"274" 2.8 7012 "chr15" "GC" "hs1" 2.27051480644071e-06
"275" 2.8 8604 "chr16" "GC" "hs1" 2.78601103745235e-06
"276" 2.8 11174 "chr17" "GC" "hs1" 3.61818774203772e-06
"277" 2.8 4268 "chr18" "GC" "hs1" 1.38199617710909e-06
"278" 2.8 10676 "chr19" "GC" "hs1" 3.45693326776398e-06
"279" 2.8 14738 "chr2" "GC" "hs1" 4.77222578684016e-06
"280" 2.8 6154 "chr20" "GC" "hs1" 1.99269083269198e-06
"281" 2.8 2784 "chr21" "GC" "hs1" 9.01470795939952e-07
"282" 2.8 4882 "chr22" "GC" "hs1" 1.580811934547e-06
"283" 2.8 10332 "chr3" "GC" "hs1" 3.34554463493232e-06
"284" 2.8 8596 "chr4" "GC" "hs1" 2.78342060413069e-06
"285" 2.8 9884 "chr5" "GC" "hs1" 3.200480368919e-06
"286" 2.8 10384 "chr6" "GC" "hs1" 3.36238245152315e-06
"287" 2.8 10122 "chr7" "GC" "hs1" 3.27754576023858e-06
"288" 2.8 8654 "chr8" "GC" "hs1" 2.80220124571277e-06
"289" 2.8 8902 "chr9" "GC" "hs1" 2.88250467868443e-06
"290" 2.8 5636 "chrX" "GC" "hs1" 1.82496027511407e-06
"291" 2.8 550 "chrY" "GC" "hs1" 1.78092290864574e-07
"292" 2.9 23148 "chr1" "GC" "hs1" 7.4954188162421e-06
"293" 2.9 11694 "chr10" "GC" "hs1" 3.78656590794605e-06
"294" 2.9 12814 "chr11" "GC" "hs1" 4.14922657297936e-06
"295" 2.9 11242 "chr12" "GC" "hs1" 3.64020642527189e-06
"296" 2.9 5578 "chr13" "GC" "hs1" 1.80617963353199e-06
"297" 2.9 8294 "chr14" "GC" "hs1" 2.68563174623777e-06
"298" 2.9 8588 "chr15" "GC" "hs1" 2.78083017080902e-06
"299" 2.9 10704 "chr16" "GC" "hs1" 3.46599978438982e-06
"300" 2.9 14134 "chr17" "GC" "hs1" 4.57664807105434e-06
"301" 2.9 5400 "chr18" "GC" "hs1" 1.74854249212491e-06
"302" 2.9 13528 "chr19" "GC" "hs1" 4.3804227469381e-06
"303" 2.9 17630 "chr2" "GC" "hs1" 5.70866743262261e-06
"304" 2.9 7680 "chr20" "GC" "hs1" 2.48681598879987e-06
"305" 2.9 3306 "chr21" "GC" "hs1" 1.07049657017869e-06
"306" 2.9 6280 "chr22" "GC" "hs1" 2.03349015750823e-06
"307" 2.9 13066 "chr3" "GC" "hs1" 4.23082522261186e-06
"308" 2.9 10420 "chr4" "GC" "hs1" 3.37403940147065e-06
"309" 2.9 12308 "chr5" "GC" "hs1" 3.98538166538395e-06
"310" 2.9 12840 "chr6" "GC" "hs1" 4.15764548127478e-06
"311" 2.9 12978 "chr7" "GC" "hs1" 4.20233045607353e-06
"312" 2.9 10604 "chr8" "GC" "hs1" 3.43361936786898e-06
"313" 2.9 11044 "chr9" "GC" "hs1" 3.57609320056064e-06
"314" 2.9 6792 "chrX" "GC" "hs1" 2.19927789009488e-06
"315" 2.9 644 "chrY" "GC" "hs1" 2.08529882394156e-07
"316" 3 27892 "chr1" "GC" "hs1" 9.03154577599035e-06
"317" 3 13476 "chr10" "GC" "hs1" 4.36358493034727e-06
"318" 3 15522 "chr11" "GC" "hs1" 5.02608825236348e-06
"319" 3 13658 "chr12" "GC" "hs1" 4.42251728841518e-06
"320" 3 6834 "chr13" "GC" "hs1" 2.21287766503363e-06
"321" 3 9808 "chr14" "GC" "hs1" 3.17587125236316e-06
"322" 3 10318 "chr15" "GC" "hs1" 3.34101137661941e-06
"323" 3 12690 "chr16" "GC" "hs1" 4.10907485649353e-06
"324" 3 16622 "chr17" "GC" "hs1" 5.38227283409263e-06
"325" 3 6290 "chr18" "GC" "hs1" 2.03672819916031e-06
"326" 3 16264 "chr19" "GC" "hs1" 5.26635094294805e-06
"327" 3 21558 "chr2" "GC" "hs1" 6.98057019356088e-06
"328" 3 9084 "chr20" "GC" "hs1" 2.94143703675234e-06
"329" 3 3820 "chr21" "GC" "hs1" 1.23693191109577e-06
"330" 3 7592 "chr22" "GC" "hs1" 2.45832122226154e-06
"331" 3 15234 "chr3" "GC" "hs1" 4.93283265278349e-06
"332" 3 12340 "chr4" "GC" "hs1" 3.99574339867062e-06
"333" 3 14632 "chr5" "GC" "hs1" 4.73790254532808e-06
"334" 3 15894 "chr6" "GC" "hs1" 5.14654340182098e-06
"335" 3 15298 "chr7" "GC" "hs1" 4.95355611935682e-06
"336" 3 12694 "chr8" "GC" "hs1" 4.11037007315436e-06
"337" 3 13424 "chr9" "GC" "hs1" 4.34674711375644e-06
"338" 3 7562 "chrX" "GC" "hs1" 2.44860709730529e-06
"339" 3 672 "chrY" "GC" "hs1" 2.17596399019988e-07
"340" 3 0.125 NA "GC" "Hypothetical" 0.00125
"341" 3.1 31734 "chr1" "GC" "hs1" 1.02756013787207e-05
"342" 3.1 15448 "chr10" "GC" "hs1" 5.00212674413807e-06
"343" 3.1 17810 "chr11" "GC" "hs1" 5.76695218236011e-06
"344" 3.1 15680 "chr12" "GC" "hs1" 5.0772493104664e-06
"345" 3.1 7818 "chr13" "GC" "hs1" 2.53150096359862e-06
"346" 3.1 10884 "chr14" "GC" "hs1" 3.52428453412731e-06
"347" 3.1 11790 "chr15" "GC" "hs1" 3.81765110780605e-06
"348" 3.1 15172 "chr16" "GC" "hs1" 4.91275679454057e-06
"349" 3.1 18958 "chr17" "GC" "hs1" 6.13867936401926e-06
"350" 3.1 7134 "chr18" "GC" "hs1" 2.31001891459613e-06
"351" 3.1 18972 "chr19" "GC" "hs1" 6.14321262233217e-06
"352" 3.1 24308 "chr2" "GC" "hs1" 7.87103164788375e-06
"353" 3.1 10012 "chr20" "GC" "hs1" 3.24192730206566e-06
"354" 3.1 4324 "chr21" "GC" "hs1" 1.40012921036076e-06
"355" 3.1 8404 "chr22" "GC" "hs1" 2.72125020441069e-06
"356" 3.1 17524 "chr3" "GC" "hs1" 5.67434419111053e-06
"357" 3.1 14206 "chr4" "GC" "hs1" 4.59996197094934e-06
"358" 3.1 16474 "chr5" "GC" "hs1" 5.3343498176418e-06
"359" 3.1 18036 "chr6" "GC" "hs1" 5.84013192369719e-06
"360" 3.1 17444 "chr7" "GC" "hs1" 5.64843985789387e-06
"361" 3.1 14160 "chr8" "GC" "hs1" 4.58506697934976e-06
"362" 3.1 15282 "chr9" "GC" "hs1" 4.94837525271349e-06
"363" 3.1 2 "chrM" "GC" "hs1" 6.47608330416632e-10
"364" 3.1 8324 "chrX" "GC" "hs1" 2.69534587119402e-06
"365" 3.1 818 "chrY" "GC" "hs1" 2.64871807140403e-07
"366" 3.2 34740 "chr1" "GC" "hs1" 1.12489566993369e-05
"367" 3.2 17180 "chr10" "GC" "hs1" 5.56295555827887e-06
"368" 3.2 18918 "chr11" "GC" "hs1" 6.12572719741092e-06
"369" 3.2 16842 "chr12" "GC" "hs1" 5.45350975043846e-06
"370" 3.2 8534 "chr13" "GC" "hs1" 2.76334474588777e-06
"371" 3.2 12038 "chr14" "GC" "hs1" 3.89795454077771e-06
"372" 3.2 12740 "chr15" "GC" "hs1" 4.12526506475395e-06
"373" 3.2 16042 "chr16" "GC" "hs1" 5.19446641827181e-06
"374" 3.2 21024 "chr17" "GC" "hs1" 6.80765876933964e-06
"375" 3.2 7762 "chr18" "GC" "hs1" 2.51336793034695e-06
"376" 3.2 20592 "chr19" "GC" "hs1" 6.66777536996965e-06
"377" 3.2 26460 "chr2" "GC" "hs1" 8.56785821141204e-06
"378" 3.2 10568 "chr20" "GC" "hs1" 3.42196241792148e-06
"379" 3.2 4638 "chr21" "GC" "hs1" 1.50180371823617e-06
"380" 3.2 9014 "chr22" "GC" "hs1" 2.91877074518776e-06
"381" 3.2 19216 "chr3" "GC" "hs1" 6.222220838643e-06
"382" 3.2 15602 "chr4" "GC" "hs1" 5.05199258558015e-06
"383" 3.2 17812 "chr5" "GC" "hs1" 5.76759979069053e-06
"384" 3.2 19456 "chr6" "GC" "hs1" 6.299933838293e-06
