"Chromosome"	"Start"	"End"	"MP"
"chr15"	26165807	26165808	27.3
"chr2"	1115472	1115473	91.6
"chr2"	120912811	120912812	96
"chrX"	153260089	153260090	94.7
"chr2"	225015432	225015433	97.1
"chr17"	3590365	3590366	3.6
"chr14"	19321293	19321294	24.4
"chr11"	2730057	2730058	5
"chr4"	114894835	114894836	74.3
"chr15"	47466794	47466795	86.1
"chr7"	116542045	116542046	95
"chr7"	136916564	136916565	84.4
"chr6"	41687918	41687919	96.7
"chr9"	91084807	91084808	92
"chr20"	187205	187206	89.6
"chr20"	43900210	43900211	95.4
"chr20"	5987893	5987894	92.2
"chr2"	28812977	28812978	95
"chr12"	50895327	50895328	92
"chr2"	26398279	26398280	95.6
"chr5"	38463782	38463783	62.8
"chr10"	34532136	34532137	93.6
"chr12"	106080826	106080827	54
"chr10"	102029725	102029726	96
"chrY"	10611367	10611368	97.1
"chr11"	76607077	76607078	7.3
"chr3"	184230269	184230270	3.5
"chr21"	43724442	43724443	29.9
"chr22"	48559101	48559102	95.7
"chr20"	4595181	4595182	72.8
"chr2"	107170548	107170549	69.2
"chr15"	27486033	27486034	56.4
"chr3"	114179023	114179024	43.3
"chr12"	131838211	131838212	63.2
"chrX"	71812950	71812951	96.4
"chr1"	78359011	78359012	96.3
"chr5"	28809013	28809014	87.6
"chr5"	65173299	65173300	90.5
"chr5"	147692748	147692749	94.7
"chr6"	150043281	150043282	71.6
"chr7"	17122603	17122604	95
"chr1"	152023078	152023079	57.6
"chr10"	123637524	123637525	34.8
"chr2"	112276841	112276842	17.9
"chr1"	63431595	63431596	96.6
"chr2"	152438492	152438493	60.6
"chr7"	1256230	1256231	31.3
"chr12"	4327268	4327269	96.8
"chr18"	27511034	27511035	39.9
"chr10"	119639197	119639198	90.6
"chr11"	93522679	93522680	47.4
"chr1"	147004688	147004689	49.3
"chr5"	144015978	144015979	71.5
"chr7"	156382850	156382851	25.8
"chr1"	208244240	208244241	3.3
"chr17"	9296045	9296046	95.7
"chr18"	10528041	10528042	92.6
"chr13"	112744280	112744281	97.3
"chr15"	35259138	35259139	96.6
"chr11"	116947627	116947628	96.6
"chr1"	143282165	143282166	40.5
"chr2"	130764586	130764587	65.1
"chr7"	17208759	17208760	96.4
"chr9"	136076961	136076962	94.5
"chr8"	33362255	33362256	96.1
"chr16"	76251451	76251452	5.1
"chr2"	52462237	52462238	93.3
"chr16"	76472114	76472115	5
"chrY"	12737130	12737131	96.2
"chr1"	55009191	55009192	93.2
"chr7"	131296838	131296839	94.8
"chr4"	229387	229388	95.1
"chr18"	32065393	32065394	82.1
"chr3"	180060296	180060297	90.9
"chr13"	65330426	65330427	88.5
"chr3"	172450053	172450054	2.4
"chr5"	40209870	40209871	83.6
"chr7"	82805963	82805964	68.8
"chr13"	70690197	70690198	91
"chr9"	96475734	96475735	92.1
"chr1"	171402314	171402315	88.2
"chr2"	75654830	75654831	94.4
"chr11"	1078508	1078509	96.8
"chr2"	121021799	121021800	85.7
"chr22"	49900548	49900549	96.6
"chr7"	3876058	3876059	75.7
"chr2"	13698393	13698394	58.1
"chr17"	60550815	60550816	97.1
"chr1"	4171463	4171464	86.2
"chr6"	141139700	141139701	88.2
"chr2"	25541412	25541413	89.7
"chr21"	43830309	43830310	95.3
"chr10"	15905362	15905363	65.1
"chr10"	128269490	128269491	91
"chr7"	68964660	68964661	56.2
"chr13"	66704025	66704026	96.3
"chr16"	87728093	87728094	95.4
"chr15"	99452193	99452194	96.8
"chr5"	141583547	141583548	93.7
"chr3"	188568528	188568529	92.9
"chr7"	24989847	24989848	89.2
"chr7"	157240214	157240215	95.8
"chr10"	78407653	78407654	3.9
"chr5"	35397421	35397422	96.8
"chr15"	25567171	25567172	81.1
"chr14"	60584328	60584329	96.3
"chr14"	106119199	106119200	3.1
"chr22"	20151894	20151895	97.2
"chr17"	2130215	2130216	97
"chr19"	19063580	19063581	3.9
"chr1"	149165619	149165620	92.8
"chr5"	32746305	32746306	28.3
"chr4"	142930908	142930909	60
"chr4"	41016598	41016599	96.9
"chr2"	177104416	177104417	93.5
"chr1"	163352737	163352738	95.7
"chr4"	77819845	77819846	3.4
"chr10"	17029458	17029459	68.3
"chr1"	210660402	210660403	8.7
"chr6"	166766960	166766961	72.8
"chr13"	103426319	103426320	95.2
"chr1"	171979188	171979189	69.1
"chr11"	1498439	1498440	97.3
"chr9"	122904851	122904852	4
"chr9"	80498125	80498126	64.6
"chr1"	233191298	233191299	95.8
"chr20"	58489457	58489458	89
"chr1"	37672653	37672654	96.7
"chr14"	67237849	67237850	83.5
"chr13"	101763008	101763009	45.9
"chr11"	68271547	68271548	3.6
"chr12"	122084439	122084440	96.4
"chr15"	62258302	62258303	91.6
"chr3"	24830564	24830565	2.5
"chr5"	146338778	146338779	25.5
"chr6"	33688951	33688952	94.6
"chr9"	67628741	67628742	95.2
"chr16"	87619113	87619114	47
"chr17"	40178011	40178012	3.4
"chr2"	79054854	79054855	93.3
"chr7"	37510606	37510607	7.8
"chr8"	143389396	143389397	94.7
"chr2"	56139563	56139564	29.1
"chr5"	179432599	179432600	96.5
"chr16"	348670	348671	97
"chr4"	44374326	44374327	73.9
"chr5"	10439855	10439856	96.2
"chr13"	112374499	112374500	96.6
"chr20"	39867558	39867559	84.3
"chr7"	141045239	141045240	5.2
"chr17"	81481356	81481357	33.4
"chr16"	35233693	35233694	51.8
"chr7"	10835712	10835713	92.2
"chr11"	49479961	49479962	4.6
"chr18"	27859196	27859197	78.6
"chr8"	81284543	81284544	78.4
"chr11"	132142644	132142645	15.8
"chr10"	112794352	112794353	95
"chr19"	5543174	5543175	95.5
"chr3"	72221463	72221464	95.5
"chr4"	188372994	188372995	13.3
"chr9"	37027901	37027902	3.1
"chr3"	185877288	185877289	97.5
"chr9"	84367851	84367852	54.6
"chr17"	64919221	64919222	3.5
"chr8"	79374770	79374771	69.2
"chr6"	31276901	31276902	15.2
"chr12"	124296943	124296944	77.6
"chr5"	135375446	135375447	87.7
"chr1"	213526327	213526328	95.8
"chr17"	31559115	31559116	2.8
"chr3"	71511060	71511061	72.9
"chr10"	130027015	130027016	95.6
"chr8"	131173446	131173447	93.6
"chr22"	31346242	31346243	4.2
"chr8"	67387508	67387509	86.6
"chr1"	162746589	162746590	97
"chr12"	132550382	132550383	64.6
"chr5"	26507232	26507233	5.3
"chr2"	2131299	2131300	36.7
"chr4"	47468921	47468922	93.2
"chr17"	19004503	19004504	3.2
"chr14"	100851771	100851772	82.1
"chr7"	23882818	23882819	90.8
"chr19"	55993994	55993995	95.4
"chr4"	48760820	48760821	97.4
"chr13"	66785400	66785401	49
"chr7"	137355797	137355798	69.8
"chr1"	92348001	92348002	96.4
"chr2"	7554813	7554814	81.6
"chr17"	2755275	2755276	2.7
"chr2"	195021208	195021209	89.2
"chr12"	69142078	69142079	92.8
"chr1"	220667720	220667721	94.2
"chr3"	60292330	60292331	94.7
"chr10"	30090191	30090192	95.2
"chrX"	57996993	57996994	4.5
"chr17"	40140616	40140617	3.6
"chrX"	68017318	68017319	10.6
"chr7"	37048689	37048690	97.1
"chr16"	86183877	86183878	78.1
"chr6"	52916486	52916487	6.7
"chr6"	32894651	32894652	3.3
"chr9"	128998186	128998187	95.8
"chr19"	3064123	3064124	71.8
"chr9"	136666128	136666129	3.5
"chr7"	28933443	28933444	96.4
"chr17"	8207693	8207694	97
"chr6"	29675014	29675015	94.1
"chr4"	69761514	69761515	94
"chr22"	40398561	40398562	68.2
"chr2"	11389648	11389649	90
"chr18"	32208799	32208800	47.1
"chr17"	82240036	82240037	95.8
"chr11"	49411012	49411013	71.4
"chr5"	126659053	126659054	96.8
"chr21"	12981839	12981840	56.8
"chr4"	11388346	11388347	94.8
"chr5"	44384404	44384405	62.2
"chr13"	44994309	44994310	96.1
"chr15"	40935998	40935999	71.6
"chr1"	90626505	90626506	95.6
"chr17"	9410566	9410567	92.4
"chr12"	54188888	54188889	4.2
"chr16"	7487118	7487119	91.3
"chr15"	99039103	99039104	82.6
"chr1"	118183357	118183358	22.4
"chr15"	70626103	70626104	91.2
"chr12"	63837721	63837722	81.1
"chrY"	3174672	3174673	84.9
"chr2"	191925924	191925925	42.3
"chr8"	10589890	10589891	95.7
"chr4"	96368489	96368490	50.4
"chr19"	426547	426548	94.6
"chr10"	124093533	124093534	3.5
"chr12"	68214606	68214607	44.4
"chr7"	92150252	92150253	96.3
"chr3"	52845937	52845938	49.4
"chr7"	128559442	128559443	97.2
"chr1"	89072191	89072192	94.5
"chr1"	225876894	225876895	96.1
"chr15"	67712635	67712636	97.1
"chr4"	39553839	39553840	96.2
"chr1"	58745982	58745983	65.3
"chr16"	59259941	59259942	3.9
"chr16"	46738900	46738901	96.1
"chr9"	136896482	136896483	95.5
"chr22"	26743097	26743098	96.8
"chr6"	164736940	164736941	85.9
"chr4"	87220339	87220340	3.9
"chr19"	32502486	32502487	72.8
"chr9"	99084293	99084294	96
"chrX"	30481417	30481418	95.6
"chr18"	29588324	29588325	91.4
"chr14"	31287120	31287121	97.3
"chr22"	49322238	49322239	41.1
"chr10"	7296944	7296945	96.9
"chr21"	36804408	36804409	94.7
"chr20"	61423762	61423763	94
"chr4"	180677004	180677005	68.2
"chr13"	22967083	22967084	81
"chr11"	47835279	47835280	75.7
"chr10"	106543628	106543629	85.5
"chr12"	71558742	71558743	25.7
"chr12"	106164479	106164480	39.5
"chr2"	28528900	28528901	72.6
"chr3"	50582257	50582258	96.5
"chr7"	2919295	2919296	90.2
"chr6"	136259691	136259692	72.7
"chr5"	78027895	78027896	96.4
"chrY"	12800114	12800115	96.7
"chr7"	81176650	81176651	15.1
"chr20"	63910281	63910282	95.9
"chr14"	95079895	95079896	90
"chr1"	27233450	27233451	88
"chr16"	56449113	56449114	95.9
"chr1"	245619364	245619365	96.7
"chr21"	31391044	31391045	16.8
"chr16"	88584135	88584136	96.6
"chr6"	39178363	39178364	94.9
"chr15"	50594185	50594186	97
"chr3"	7281877	7281878	80.3
"chr8"	47511242	47511243	91.2
"chr6"	157786096	157786097	90.4
"chr2"	160189538	160189539	95.2
"chr13"	27171864	27171865	3.8
"chr4"	168483030	168483031	94.1
"chr22"	48056081	48056082	87.1
"chr3"	9915404	9915405	5.5
"chr8"	141472359	141472360	94.5
"chr6"	111062476	111062477	93.3
"chr5"	102024140	102024141	94.5
"chrX"	86975203	86975204	66.1
"chr15"	51716378	51716379	94.1
"chr17"	76842956	76842957	95.8
"chr3"	50155581	50155582	4.8
"chr8"	45485008	45485009	44.5
"chr5"	93286073	93286074	81.7
"chr5"	102905615	102905616	96.3
"chr12"	70522572	70522573	95
"chr19"	616410	616411	50.4
"chr14"	67088993	67088994	95
"chr12"	125908964	125908965	3.9
"chr4"	38047485	38047486	84.8
"chr1"	206612189	206612190	4.5
"chr1"	148667444	148667445	77
"chr22"	20709216	20709217	92.9
"chr16"	2245147	2245148	97
"chr22"	35925720	35925721	95.1
"chr7"	62304010	62304011	93.8
"chr3"	74650566	74650567	95
"chr2"	225100266	225100267	28.1
"chr12"	2565545	2565546	96.8
"chr5"	127478927	127478928	58.6
"chr3"	52088784	52088785	93.3
"chr11"	6453058	6453059	96.5
"chr22"	48616281	48616282	16.8
"chr19"	4038144	4038145	96.8
"chr12"	108640528	108640529	95.7
"chr19"	7920835	7920836	3.3
"chr21"	41665310	41665311	72.4
"chr14"	24131855	24131856	96.3
"chr1"	203625932	203625933	3.8
"chr22"	23882822	23882823	96.3
"chr19"	49497199	49497200	3.9
"chr1"	31661572	31661573	86
"chr5"	96230893	96230894	95.7
"chr17"	74853969	74853970	66
"chr13"	30605375	30605376	86.2
"chr5"	20803669	20803670	83.9
"chr3"	181897125	181897126	96.7
"chr17"	80784854	80784855	96.6
"chr3"	141231159	141231160	3.7
"chr13"	47101265	47101266	94.4
"chr6"	141202384	141202385	7.4
"chr3"	101303581	101303582	18
"chr9"	35055716	35055717	95.8
"chr2"	17566100	17566101	13.2
"chr3"	121494263	121494264	96.8
"chr22"	39567649	39567650	3.9
"chr4"	8898318	8898319	33.9
"chr20"	59729920	59729921	85.6
"chr16"	28997816	28997817	96.6
"chr6"	22938961	22938962	96
"chr2"	105380263	105380264	80.7
"chr10"	97502833	97502834	11.1
"chr8"	136552542	136552543	14.7
"chr3"	100026350	100026351	96.6
"chr10"	133169974	133169975	63
"chr5"	127594554	127594555	95.5
"chr1"	179075845	179075846	96.5
"chr6"	44032545	44032546	16.5
"chrX"	80909432	80909433	5.3
"chr10"	102175963	102175964	44.3
"chr18"	19483749	19483750	51.7
"chr13"	40991576	40991577	72.4
"chr12"	84673191	84673192	94.4
"chr18"	19586340	19586341	96.9
"chr5"	16958907	16958908	85.2
"chr15"	52621968	52621969	95.2
"chr11"	113616871	113616872	92.6
"chr19"	30688133	30688134	40
"chr4"	178296399	178296400	51.9
"chr16"	34252844	34252845	29.7
"chr13"	110719296	110719297	95.8
"chr3"	50060876	50060877	96.9
"chr11"	85914625	85914626	96.8
"chr4"	88667537	88667538	84.9
"chr5"	98317765	98317766	95.3
"chr7"	30394302	30394303	96.3
"chr9"	39892919	39892920	81.5
"chrX"	134499719	134499720	96.1
"chr13"	74282841	74282842	90.1
"chr3"	2724263	2724264	3.8
"chr8"	26614355	26614356	95.6
"chr5"	161249926	161249927	5.9
"chr1"	209232412	209232413	96.3
"chr5"	178509644	178509645	91.8
"chr15"	81730535	81730536	96.3
"chr20"	33456989	33456990	13.5
"chr4"	26298062	26298063	91.4
"chr6"	148896818	148896819	92.3
"chr2"	172100108	172100109	2.9
"chr17"	81960961	81960962	3.9
"chr17"	12247139	12247140	74.8
"chr4"	3708449	3708450	3.5
"chr13"	113109096	113109097	83.7
"chr5"	1860312	1860313	94.7
"chr5"	134992494	134992495	91.4
"chr5"	103199280	103199281	96.1
"chrX"	154339010	154339011	84
"chr18"	76666386	76666387	58.5
"chr13"	78725565	78725566	95.8
"chr15"	23039348	23039349	4.2
"chr21"	44245988	44245989	3.8
"chr3"	64613086	64613087	92.7
"chr8"	138703980	138703981	57
"chr12"	124315481	124315482	24.2
"chr19"	14211334	14211335	51
"chr17"	58878485	58878486	85
"chr20"	57892800	57892801	68.2
"chr11"	120073282	120073283	93.7
"chr10"	99329643	99329644	3.5
"chr19"	5776787	5776788	76.2
"chr8"	13386281	13386282	88
"chr15"	81072373	81072374	94.8
"chr18"	24682630	24682631	24.3
"chr16"	82033839	82033840	6
"chr4"	82395360	82395361	69
"chr12"	124102812	124102813	97.1
"chr6"	134523475	134523476	96.1
"chr16"	11847816	11847817	95.3
"chr15"	89297736	89297737	97.2
"chr6"	152868323	152868324	54.5
"chr12"	100096752	100096753	96.2
"chr14"	101630252	101630253	87.8
"chr1"	866613	866614	49.4
"chr3"	196234276	196234277	92.7
"chr8"	6257041	6257042	91.8
"chr10"	81875398	81875399	3.4
"chr4"	85296878	85296879	62.8
"chr15"	35039617	35039618	94.6
"chr17"	13053572	13053573	84.9
"chr19"	2281334	2281335	2.9
"chr3"	34455443	34455444	91.8
"chr3"	121612974	121612975	96.5
"chr17"	34399137	34399138	3.7
"chr2"	123771720	123771721	15.8
"chr2"	8684464	8684465	5.7
"chr1"	59371820	59371821	76.3
"chr9"	25532199	25532200	71.2
"chr4"	15167651	15167652	95.7
"chr13"	33349566	33349567	71.5
"chr8"	21883841	21883842	6.9
"chr17"	32284777	32284778	96.6
"chr21"	9679059	9679060	95.6
"chr15"	98381149	98381150	33.8
"chr16"	53566214	53566215	53.1
"chr5"	997241	997242	12.7
"chr7"	137621858	137621859	92.2
"chr5"	60780935	60780936	88.1
"chr15"	100880179	100880180	3.3
"chr4"	72125779	72125780	56.6
"chr17"	19498415	19498416	30.7
"chr12"	155137	155138	50.3
"chr15"	52165588	52165589	76.8
"chr3"	80590933	80590934	12.7
"chr3"	31157308	31157309	67.8
"chr7"	123619757	123619758	95.7
"chr19"	23901878	23901879	14.8
"chr9"	24820297	24820298	2.9
"chr9"	112175683	112175684	55
"chr16"	11709970	11709971	93.2
"chr19"	39135674	39135675	95.9
"chr20"	57904047	57904048	47.8
"chr1"	27603626	27603627	3.3
"chr1"	48003331	48003332	95.1
"chr22"	38643345	38643346	91.5
"chr1"	174886356	174886357	96.4
"chr10"	79547661	79547662	61.2
"chr11"	63975209	63975210	4.3
"chr6"	46785987	46785988	32.4
"chr10"	76881450	76881451	94.5
"chr6"	7061507	7061508	97.1
"chr1"	160645642	160645643	3
"chr1"	233897252	233897253	10
"chr3"	32795691	32795692	81.7
"chr10"	36820317	36820318	96.4
"chr7"	80079663	80079664	84.5
"chr11"	94088984	94088985	95.2
"chr12"	94400830	94400831	92.1
"chr16"	76094394	76094395	91.3
"chr7"	53899518	53899519	8.5
"chr2"	10046308	10046309	95.5
"chr12"	127703220	127703221	89.2
"chr11"	62999048	62999049	95.8
"chr1"	245972767	245972768	87.2
"chr11"	119921255	119921256	91.2
"chr9"	126625568	126625569	8
"chr5"	31960276	31960277	94.3
"chr19"	53860506	53860507	96
"chr10"	117168833	117168834	3.7
"chr3"	154884651	154884652	80.2
"chr11"	71386733	71386734	96.6
"chrX"	58007639	58007640	94.4
"chr17"	5097243	5097244	2.6
"chr6"	26214007	26214008	96
"chr5"	9747677	9747678	5
"chr2"	81148	81149	43.8
"chrX"	101452699	101452700	97
"chr3"	47755229	47755230	96.4
"chr2"	175941557	175941558	96.3
"chr13"	52724666	52724667	96.1
"chr8"	133483319	133483320	93.2
"chr19"	919050	919051	4.3
"chr1"	205985416	205985417	48.3
"chr4"	47677998	47677999	94.5
"chr10"	78090346	78090347	95.6
"chr11"	24442331	24442332	91
"chr1"	248935684	248935685	84.8
"chr17"	874893	874894	68.8
"chr5"	45658809	45658810	95.3
"chr6"	33278075	33278076	80.8
"chr9"	129154136	129154137	93.7
"chr1"	40919297	40919298	96.4
"chr14"	90816375	90816376	3.2
"chr8"	625343	625344	90.1
"chr13"	56905926	56905927	4.4
"chr5"	70060847	70060848	96.7
"chr15"	98878887	98878888	35
"chr17"	9210416	9210417	76.3
"chr13"	82417860	82417861	34.4
"chr19"	20523834	20523835	46.1
"chr6"	13859972	13859973	4.3
"chr1"	19338780	19338781	96.1
"chr1"	2905517	2905518	79.7
"chr2"	110034021	110034022	20.3
"chr20"	10062952	10062953	89.8
"chr10"	112049456	112049457	83.8
"chr10"	112813476	112813477	96.6
"chr5"	150776061	150776062	95.3
"chr5"	80476225	80476226	95.9
"chr19"	4529783	4529784	65.8
"chr13"	27993573	27993574	97.4
"chr9"	83677453	83677454	96.6
"chr10"	43102408	43102409	96.2
"chr3"	9571128	9571129	6
"chr11"	71251761	71251762	2.9
"chr12"	76687342	76687343	15.9
"chr7"	101735777	101735778	95.7
"chrX"	39539473	39539474	93.9
"chr9"	133163206	133163207	96.7
"chr13"	109319104	109319105	90.7
"chr5"	54276740	54276741	31.4
"chr7"	4094158	4094159	95.7
"chr4"	1446654	1446655	80.4
"chr1"	22651820	22651821	18.5
"chr10"	42085250	42085251	6.4
"chr22"	21690840	21690841	94.3
"chr1"	121620667	121620668	67.4
"chr22"	26347890	26347891	81.5
"chr8"	1549441	1549442	96.4
"chr12"	59404761	59404762	62.2
"chr9"	6830363	6830364	97.4
"chr19"	7013282	7013283	62.1
"chr9"	89243023	89243024	91.3
"chr4"	66747029	66747030	76.1
"chr19"	23937697	23937698	95.7
"chr17"	35431469	35431470	97.2
"chr2"	105047203	105047204	92.4
"chr2"	69444598	69444599	96.8
"chr15"	33382408	33382409	94.9
"chr17"	22990925	22990926	79.4
"chr6"	85182901	85182902	24.1
"chr1"	9353848	9353849	89.3
"chr15"	99503947	99503948	3.3
"chr10"	31949896	31949897	96
"chr15"	55289675	55289676	4.3
"chr7"	150035304	150035305	96.6
"chr3"	169734457	169734458	89
"chr7"	75956126	75956127	93.5
"chr11"	125592872	125592873	4.6
"chr12"	10205916	10205917	90.6
"chr15"	58598705	58598706	96.4
"chr21"	16089559	16089560	49.2
"chr1"	144691247	144691248	96.9
"chr7"	50508287	50508288	89.6
"chr4"	148442616	148442617	3.9
"chr5"	67795874	67795875	9.3
"chr9"	60617746	60617747	66.1
"chr13"	42293370	42293371	95.9
"chr6"	138039712	138039713	73.5
"chr13"	109889879	109889880	94.3
"chr17"	64776042	64776043	80.2
"chr6"	53881305	53881306	65.3
"chr9"	124017571	124017572	2.8
"chr5"	129095361	129095362	4.1
"chr1"	6383432	6383433	96.6
"chr1"	37626538	37626539	46.7
"chr16"	17565493	17565494	96.1
"chr10"	33158764	33158765	97
"chr10"	102371649	102371650	96.7
"chr19"	2177707	2177708	96
"chr21"	44628006	44628007	4.9
"chr5"	155026827	155026828	84.1
"chrX"	28026331	28026332	95
"chr20"	35050910	35050911	96.7
"chr5"	19692033	19692034	9
"chr2"	25431747	25431748	4.2
"chr13"	21302948	21302949	95.6
"chr15"	26374102	26374103	42.6
"chr5"	273071	273072	96.3
"chr20"	33791085	33791086	96.1
"chr9"	134997267	134997268	73.7
"chrX"	2336298	2336299	89.1
"chr1"	43101758	43101759	67.8
"chr7"	38136769	38136770	39.4
"chr14"	100801619	100801620	96.2
"chr19"	41353937	41353938	4.4
"chr17"	49964558	49964559	14.5
"chr1"	234003808	234003809	85.3
"chr3"	196851769	196851770	74.4
"chr6"	69284466	69284467	94.4
"chr9"	123697632	123697633	92.4
"chr11"	85025300	85025301	37.5
"chr15"	45403499	45403500	3.1
"chr18"	68056455	68056456	96.3
"chr16"	29375705	29375706	87.8
"chrX"	9052508	9052509	56.3
"chr14"	100777206	100777207	47
"chr17"	37605831	37605832	95.2
"chr9"	127225643	127225644	2.4
"chr12"	17738858	17738859	63.5
"chr19"	24110023	24110024	95.7
"chr2"	202562222	202562223	71.7
"chr19"	42376603	42376604	97.1
"chr13"	69733422	69733423	6.8
"chr8"	42812380	42812381	96.8
"chr17"	38180034	38180035	95.9
"chr17"	6938047	6938048	95.4
"chr16"	47138138	47138139	96.2
"chr4"	143410075	143410076	95.1
"chr14"	75964919	75964920	96.2
"chrX"	154188092	154188093	75.1
"chr6"	33608735	33608736	37.2
"chr5"	141415074	141415075	5.1
"chr4"	113763077	113763078	2.6
"chr6"	170147071	170147072	86.7
"chr5"	65701776	65701777	93.4
"chr15"	68991897	68991898	58.1
"chr6"	32315784	32315785	26.7
"chr16"	88970744	88970745	48.4
"chr19"	6516605	6516606	3.9
"chr8"	139671545	139671546	94.1
"chr19"	27739788	27739789	95.8
"chr7"	56412656	56412657	62.4
"chr15"	60777288	60777289	50.6
"chr10"	119311376	119311377	96.6
"chr13"	19378117	19378118	94.5
"chrX"	120020998	120020999	94.6
"chr10"	67850375	67850376	4.2
"chr1"	36464795	36464796	48.5
"chr17"	22626029	22626030	47
"chr19"	2699660	2699661	91
"chr8"	90587998	90587999	97.2
"chr10"	95777853	95777854	5.8
"chr8"	143519521	143519522	96.2
"chr1"	244074965	244074966	3.1
"chr2"	121108984	121108985	95.7
"chr1"	123884251	123884252	44.3
"chr5"	164417661	164417662	91.9
"chr10"	106477441	106477442	84.4
"chr8"	37965922	37965923	3.7
"chr21"	30041119	30041120	86.8
"chr14"	82210262	82210263	31.6
"chr7"	116844867	116844868	94.4
"chr7"	73609346	73609347	82.1
"chr17"	5077645	5077646	96.6
"chr3"	146653522	146653523	3.5
"chr22"	24952623	24952624	2.7
"chr9"	29042230	29042231	5.1
"chr1"	220347687	220347688	92.6
"chr10"	74656839	74656840	95.5
"chr10"	31513510	31513511	96.3
"chr20"	37462314	37462315	94
"chr11"	8076032	8076033	52.7
"chr5"	8788488	8788489	73.4
"chr11"	72718061	72718062	8
"chr5"	18503383	18503384	74.2
"chr17"	83005631	83005632	95.2
"chr14"	77547661	77547662	94.6
"chr10"	30804017	30804018	92.5
"chr22"	17592870	17592871	96.1
"chr16"	46505330	46505331	41.9
"chr4"	27039084	27039085	38.4
"chr16"	84344526	84344527	92.8
"chr1"	122725144	122725145	52.8
"chrX"	25403059	25403060	82.9
"chr4"	186815387	186815388	61
"chr1"	44082435	44082436	84.6
"chr4"	3765971	3765972	3.4
"chr13"	83502150	83502151	86.6
"chr17"	51548914	51548915	58.3
"chr21"	22852765	22852766	55.5
"chr19"	11845437	11845438	97
"chr21"	6372446	6372447	2.5
"chr5"	100878925	100878926	95.8
"chr15"	22977223	22977224	96.6
"chr6"	64686478	64686479	97
"chr7"	52393855	52393856	91
"chr14"	31694764	31694765	94.3
"chr3"	47479736	47479737	97.6
